Wall time,Step,Value
1649071742.092919,0,1.5600000551785342e-05
1649071802.378523,1,3.12993761326652e-05
1649071870.291073,2,4.6996250603115186e-05
1649071929.5073636,3,6.268874858506024e-05
1649071990.2056735,4,7.837498560547829e-05
1649072050.1465719,5,9.405309538124129e-05
1649072110.0338397,6,9.992823470383883e-05
1649072170.048493,7,9.992823470383883e-05
1649072229.4515104,8,9.990232501877472e-05
1649072289.0492237,9,9.987243538489565e-05
1649072349.488221,10,9.983856580220163e-05
1649072409.1604135,11,9.980073082260787e-05
1649072468.9966307,12,9.975891589419916e-05
1649072528.4435844,13,9.971313556889072e-05
1649072587.9522223,14,9.966338257072493e-05
1649072647.2761915,15,9.960967872757465e-05
1649072705.8352754,16,9.955201676348224e-05
1649072764.3340309,17,9.949039667844772e-05
1649072823.873468,18,9.942483302438632e-05
1649072882.3580093,19,9.935532580129802e-05
1649072942.6313994,20,9.928188956109807e-05
1649073003.892619,21,9.920451702782884e-05
1649073063.5971844,22,9.912321547744796e-05
1649073124.3305743,23,9.903800673782825e-05
1649073182.726936,24,9.894888353301212e-05
1649073241.3970373,25,9.885585313895717e-05
1649073300.9343872,26,9.875893010757864e-05
1649073359.4225013,27,9.865812171483412e-05
1649073419.1473174,28,9.855342796072364e-05
1649073479.9792857,29,9.844486339716241e-05
1649073538.3579392,30,9.833244257606566e-05
1649073596.6613235,31,9.821615822147578e-05
1649073656.1781547,32,9.809603943722323e-05
1649073715.6709998,33,9.797207894735038e-05
1649073779.6626794,34,9.78442985797301e-05
1649073839.3401883,35,9.771269833436236e-05
1649073899.2414513,36,9.757730003912002e-05
1649073957.7799487,37,9.743810369400308e-05
1649074017.5107841,38,9.729512385092676e-05
1649074076.0038836,39,9.71483823377639e-05
1649074135.7429886,40,9.699787915451452e-05
1649074194.3917112,41,9.684362885309383e-05
1649074252.9856055,42,9.668563870945945e-05
1649074312.736349,43,9.652393782744184e-05
1649074371.328988,44,9.635851893108338e-05
1649074429.9973197,45,9.618941112421453e-05
1649074488.5409272,46,9.60166216827929e-05
1649074548.2788146,47,9.584016515873373e-05
1649074606.9555528,48,9.566005610395223e-05
1649074665.5968394,49,9.547630907036364e-05
1649074724.2002845,50,9.528893860988319e-05
1649074782.6447952,51,9.50979592744261e-05
1649074842.3272717,52,9.490338561590761e-05
1649074900.9569552,53,9.470523218624294e-05
1649074959.7125611,54,9.450352081330493e-05
1649075018.4468586,55,9.429826604900882e-05
1649075078.73689,56,9.408948244526982e-05
1649075138.3940883,57,9.387717727804556e-05
1649075197.9501305,58,9.366138692712411e-05
1649075257.1135194,59,9.344211866846308e-05
1649075315.8649497,60,9.32193870539777e-05
1649075374.6676137,61,9.29932139115408e-05
1649075436.1092217,62,9.276362106902525e-05
1649075494.4806561,63,9.253061580238864e-05
1649075553.9486613,64,9.229423449141905e-05
1649075612.275215,65,9.205447713611647e-05
1649075671.038738,66,9.181137284031138e-05
1649075729.3448238,67,9.15649434318766e-05
1649075787.8120952,68,9.131520346272737e-05
1649075846.3058112,69,9.106218203669414e-05
1649075904.719882,70,9.080588642973453e-05
1649075963.1379876,71,9.054633846972138e-05
1649076021.583167,72,9.028357453644276e-05
1649076079.9658911,73,9.001759462989867e-05
1649076139.7606947,74,8.97484424058348e-05
1649076199.2778852,75,8.947611786425114e-05
1649076258.8983707,76,8.920065738493577e-05
1649076317.5215712,77,8.892208279576153e-05
1649076376.3560104,78,8.864040864864364e-05
1649076434.8270864,79,8.835565677145496e-05
1649076494.214205,80,8.806786354398355e-05
1649076553.3948882,81,8.777703624218702e-05
1649076614.2055006,82,8.748321124585345e-05
1649076673.946297,83,8.718640310689807e-05
1649076733.7613566,84,8.688664092915133e-05
1649076794.70793,85,8.658394654048607e-05
1649076854.5156896,86,8.627834904473275e-05
1649076914.3067026,87,8.59698629938066e-05
1649076974.0718954,88,8.565851749153808e-05
1649077033.9076114,89,8.534434891771525e-05
1649077095.164953,90,8.502736454829574e-05
1649077154.9730132,91,8.47076007630676e-05
1649077214.7429972,92,8.43850793899037e-05
1649077274.657347,93,8.405982953263447e-05
1649077334.516901,94,8.373188029509038e-05
1649077394.422983,95,8.340124622918665e-05
1649077455.287882,96,8.306796371471137e-05
1649077514.9640048,97,8.273206185549498e-05
1649077575.8257592,98,8.239356247941032e-05
1649077635.6252482,99,8.205248741433024e-05
1649077695.309389,100,8.170887304004282e-05
1649077755.0055346,101,8.13627484603785e-05
1649077814.7133622,102,8.101412822725251e-05
1649077875.8042717,103,8.066305599641055e-05
1649077936.8394687,104,8.030955359572545e-05
1649077996.8850236,105,7.995365012902766e-05
1649078056.7807708,106,7.959536742419004e-05
1649078116.6241562,107,7.923474913695827e-05
1649078176.534394,108,7.887180981924757e-05
1649078236.3048792,109,7.850658585084602e-05
1649078295.9741683,110,7.813910633558407e-05
1649078355.7500408,111,7.776940037729219e-05
1649078420.0756872,112,7.739749707980081e-05
1649078479.5751252,113,7.702342554694042e-05
1649078539.5717294,114,7.664722215849906e-05
1649078599.311696,115,7.626890146639198e-05
1649078660.2135856,116,7.588851440232247e-05
1649078720.081354,117,7.550607551820576e-05
1649078779.688779,118,7.512162846978754e-05
1649078839.5012107,119,7.473519508494064e-05
1649078899.3487039,120,7.434680446749553e-05
1649078959.2917979,121,7.395650027319789e-05
1649079019.1573677,122,7.356430432992056e-05
1649079078.9927256,123,7.3170245741494e-05
1649079138.775909,124,7.277436088770628e-05
1649079199.598162,125,7.237668614834547e-05
1649079259.383778,126,7.197724335128441e-05
1649079320.180837,127,7.15760761522688e-05
1649079380.0121653,128,7.117320637917146e-05
1649079439.8842003,129,7.076867041178048e-05
1649079500.7150521,130,7.036250462988392e-05
1649079561.0702586,131,6.995473813731223e-05
1649079620.5789847,132,6.95454073138535e-05
1649079681.1252296,133,6.913453398738056e-05
1649079740.5218053,134,6.87221618136391e-05
1649079799.9145138,135,6.83083271724172e-05
1649079859.3768795,136,6.789305189158767e-05
1649079919.0312076,137,6.747637962689623e-05
1649079978.457375,138,6.705833948217332e-05
1649080037.9385192,139,6.66389605612494e-05
1649080098.7473805,140,6.621828651987016e-05
1649080158.4701598,141,6.579633918590844e-05
1649080218.1887527,142,6.537316949106753e-05
1649080279.0719028,143,6.494879198726267e-05
1649080338.7894144,144,6.452325760619715e-05
1649080398.4738343,145,6.409658817574382e-05
1649080458.1216538,146,6.366882735164836e-05
1649080517.9055696,147,6.323999696178362e-05
1649080577.5192206,148,6.281014793785289e-05
1649080637.1767786,149,6.237930938368663e-05
1649080697.1771374,150,6.19475104031153e-05
1649080756.7550967,151,6.151478737592697e-05
