Wall time,Step,Value
1651636649.8084917,0,0.04304676502943039
1651637059.499656,1,0.040780093520879745
1651637466.8442013,2,0.03977885842323303
1651637872.6163707,3,0.039020661264657974
1651638275.1300638,4,0.03800954669713974
1651638676.768216,5,0.03715335950255394
1651639078.1704378,6,0.036614056676626205
1651639478.4484632,7,0.03595597296953201
1651639879.733085,8,0.03547045961022377
1651640280.2828593,9,0.03504740446805954
1651640681.5497475,10,0.03474346920847893
1651641082.9713085,11,0.03398127481341362
1651641485.0047522,12,0.033896055072546005
1651641885.671861,13,0.03368726372718811
1651642287.2563288,14,0.033194683492183685
1651642686.9705017,15,0.03286927938461304
1651643086.961013,16,0.03273008391261101
1651643488.2406812,17,0.032557468861341476
1651643889.086709,18,0.032024040818214417
1651644290.2194297,19,0.031658370047807693
1651644692.5195136,20,0.0316050723195076
1651645097.0359244,21,0.03147851303219795
1651645497.8850868,22,0.03112378530204296
1651645897.2318628,23,0.03087608702480793
1651646297.5310624,24,0.030523087829351425
1651646696.8552563,25,0.03016495518386364
1651647096.8496637,26,0.030002886429429054
1651647495.4694834,27,0.030033212155103683
1651647891.9213657,28,0.029615066945552826
1651648290.914269,29,0.029409339651465416
1651648689.17359,30,0.029184358194470406
1651649088.9191809,31,0.02884824573993683
1651649487.62781,32,0.028838247060775757
1651649886.3695858,33,0.028553325682878494
1651650286.2042432,34,0.028015799820423126
1651650683.0453055,35,0.02775910496711731
1651651081.2429194,36,0.027769824489951134
1651651479.64159,37,0.027564072981476784
1651651878.7349005,38,0.026946377009153366
1651652276.919055,39,0.02712084911763668
1651652677.2010005,40,0.026851102709770203
1651653069.4016042,41,0.026612211018800735
1651653467.272396,42,0.026445331051945686
1651653865.585233,43,0.026341160759329796
1651654258.792938,44,0.026025040075182915
1651654656.9698393,45,0.025910019874572754
1651655055.809842,46,0.025924071669578552
1651655448.979385,47,0.02579442597925663
1651655841.655643,48,0.025438670068979263
1651656232.77197,49,0.02576490491628647
1651656626.0371532,50,0.025212544947862625
1651657020.3963125,51,0.02555813267827034
1651657415.0932162,52,0.025072040036320686
1651657807.524856,53,0.025127330794930458
1651658200.1097925,54,0.0252281054854393
1651658594.3541782,55,0.025165872648358345
1651658987.6437805,56,0.02490629255771637
