               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.080849,            0.025145,            0.094304,          0.00023888,            0.026299,          0.00010798,           1.724e-05,            0.086556,            0.013535,            0.093351,            1.56e-05,            1.56e-05,            0.084416
                   1,            0.070268,            0.026451,            0.087536,             0.00145,           0.0061786,          0.00054815,          0.00014942,            0.082748,            0.013794,             0.10416,          3.1299e-05,          3.1299e-05,            0.068731
                   2,            0.065495,            0.026085,             0.08598,           0.0031827,              0.1233,           0.0023597,           0.0004566,            0.068898,            0.012295,             0.08954,          4.6996e-05,          4.6996e-05,            0.053047
                   3,            0.061672,            0.024473,            0.085041,            0.038448,            0.093088,           0.0099462,           0.0030281,            0.060697,            0.011546,            0.088342,          6.2689e-05,          6.2689e-05,            0.037363
                   4,            0.057391,             0.02293,            0.084393,            0.024447,             0.21326,            0.025625,           0.0097663,             0.05015,            0.010781,            0.084186,          7.8375e-05,          7.8375e-05,            0.021678
                   5,            0.054445,            0.022081,            0.083701,            0.029756,             0.23206,            0.032623,            0.014164,            0.047678,            0.010378,            0.082928,          9.4053e-05,          9.4053e-05,           0.0059941
                   6,            0.051457,            0.020496,            0.083124,            0.033022,             0.23853,            0.041052,            0.017553,            0.047132,           0.0097129,            0.081727,          9.9928e-05,          9.9928e-05,          9.9928e-05
                   7,            0.048982,            0.020469,            0.082312,            0.056492,             0.20223,             0.05237,            0.023071,               0.047,            0.010035,            0.080463,          9.9928e-05,          9.9928e-05,          9.9928e-05
                   8,            0.047254,            0.019267,             0.08143,             0.14715,             0.15918,            0.068133,            0.034618,            0.039295,           0.0084785,            0.079723,          9.9902e-05,          9.9902e-05,          9.9902e-05
                   9,            0.046135,            0.018972,             0.08036,             0.14038,             0.18155,            0.085983,            0.044419,            0.039459,           0.0084593,             0.07792,          9.9872e-05,          9.9872e-05,          9.9872e-05
                  10,             0.04459,            0.018054,            0.079295,            0.070774,             0.28824,            0.081241,            0.040921,            0.040666,           0.0085774,            0.077259,          9.9839e-05,          9.9839e-05,          9.9839e-05
                  11,            0.043572,             0.01764,            0.078357,             0.11978,              0.2477,              0.1063,            0.056728,            0.036497,           0.0078783,            0.076122,          9.9801e-05,          9.9801e-05,          9.9801e-05
