               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.080101,            0.035664,            0.090089,            0.081213,           0.0023502,          6.1985e-05,          1.1075e-05,            0.073007,            0.015036,            0.088088,            1.56e-05,            1.56e-05,            0.084416
                   1,             0.07037,            0.033213,             0.08598,           0.0024396,            0.084754,           0.0019992,          0.00041143,            0.070549,            0.014441,            0.089227,          3.1299e-05,          3.1299e-05,            0.068731
                   2,            0.065702,            0.030821,            0.084986,             0.10129,            0.045944,            0.011514,           0.0034468,            0.061001,            0.012781,            0.084804,          4.6996e-05,          4.6996e-05,            0.053047
                   3,            0.061281,            0.028563,            0.084282,             0.02332,             0.28807,            0.021974,           0.0065209,            0.057037,            0.012451,            0.084496,          6.2689e-05,          6.2689e-05,            0.037363
                   4,             0.05854,            0.026413,            0.082849,            0.087732,             0.13886,            0.028037,           0.0099586,             0.06043,            0.012918,            0.081859,          7.8375e-05,          7.8375e-05,            0.021678
                   5,            0.055569,            0.025673,            0.081173,            0.040502,             0.27543,            0.046346,            0.015014,            0.050105,            0.011425,            0.079043,          9.4053e-05,          9.4053e-05,           0.0059941
                   6,            0.054186,            0.024686,             0.07987,            0.049643,             0.33015,             0.06237,            0.021201,            0.049916,            0.011008,            0.077574,          9.9928e-05,          9.9928e-05,          9.9928e-05
                   7,            0.051835,            0.024487,            0.078608,            0.088244,             0.25826,            0.093777,            0.038243,            0.043709,            0.010144,            0.075409,          9.9928e-05,          9.9928e-05,          9.9928e-05
                   8,            0.049575,            0.023873,            0.076806,              0.1478,             0.31641,             0.13896,            0.058795,            0.042285,            0.010293,            0.073681,          9.9902e-05,          9.9902e-05,          9.9902e-05
                   9,            0.049435,            0.023382,            0.074971,             0.12337,             0.40147,             0.15162,            0.061325,            0.044618,           0.0095074,            0.072626,          9.9872e-05,          9.9872e-05,          9.9872e-05
                  10,            0.048245,            0.023151,            0.073756,             0.19637,              0.2907,             0.15799,            0.073336,            0.042905,           0.0098664,            0.072032,          9.9839e-05,          9.9839e-05,          9.9839e-05
