               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.074088,            0.025981,            0.087859,          9.0919e-05,            0.054051,          7.8461e-05,          1.7521e-05,            0.063381,             0.01513,            0.087055,            1.56e-05,            1.56e-05,            0.084416
                   1,            0.064081,            0.026963,            0.086387,             0.00579,            0.090041,           0.0054048,           0.0018087,            0.061925,            0.013476,            0.089563,          3.1299e-05,          3.1299e-05,            0.068731
                   2,            0.059848,            0.025613,            0.086015,            0.012315,              0.1622,             0.01092,           0.0029813,            0.057051,            0.012907,            0.087112,          4.6996e-05,          4.6996e-05,            0.053047
                   3,            0.054278,            0.022733,            0.085716,            0.030034,             0.13199,            0.022891,           0.0092002,            0.049297,            0.011474,            0.085102,          6.2689e-05,          6.2689e-05,            0.037363
                   4,            0.051748,            0.021053,            0.085244,            0.032637,             0.38518,            0.040573,            0.016181,            0.043734,           0.0096037,            0.084106,          7.8375e-05,          7.8375e-05,            0.021678
                   5,            0.048965,            0.020265,            0.084555,            0.045194,             0.22218,            0.046779,            0.022693,            0.040934,           0.0093826,            0.083673,          9.4053e-05,          9.4053e-05,           0.0059941
                   6,             0.04647,            0.018931,            0.083748,            0.043514,             0.31206,            0.054011,             0.02479,            0.042573,           0.0089453,            0.082746,          9.9928e-05,          9.9928e-05,          9.9928e-05
                   7,            0.044205,            0.018352,            0.083126,            0.041752,             0.45815,            0.063467,            0.031393,            0.038236,           0.0083639,             0.08137,          9.9928e-05,          9.9928e-05,          9.9928e-05
                   8,            0.042514,            0.017552,             0.08199,            0.054113,             0.41858,            0.076422,            0.038909,            0.036633,           0.0079722,             0.08004,          9.9902e-05,          9.9902e-05,          9.9902e-05
                   9,            0.041834,            0.017535,            0.080977,            0.063933,             0.38702,            0.088555,            0.047724,            0.034128,           0.0074461,            0.078951,          9.9872e-05,          9.9872e-05,          9.9872e-05
                  10,            0.040649,            0.016843,            0.079798,             0.14798,             0.34261,            0.095436,            0.053118,            0.032538,            0.007141,            0.078564,          9.9839e-05,          9.9839e-05,          9.9839e-05
                  11,            0.038834,            0.016108,            0.078584,             0.23848,             0.26648,             0.11454,            0.064589,            0.033839,           0.0071243,            0.077418,          9.9801e-05,          9.9801e-05,          9.9801e-05
                  12,            0.038467,            0.015852,            0.077458,             0.28597,             0.29982,             0.13736,            0.081716,             0.03038,           0.0069182,            0.074587,          9.9759e-05,          9.9759e-05,          9.9759e-05
                  13,            0.036946,            0.015297,            0.076216,             0.28123,             0.29895,             0.13256,            0.077161,            0.033578,           0.0069093,            0.073266,          9.9713e-05,          9.9713e-05,          9.9713e-05
                  14,            0.036766,            0.015385,            0.074908,             0.27128,             0.33035,             0.16279,             0.09506,            0.031333,           0.0066681,            0.071583,          9.9663e-05,          9.9663e-05,          9.9663e-05
                  15,            0.035772,            0.015071,            0.073517,              0.2017,             0.41041,              0.1867,             0.11759,            0.030265,           0.0064373,            0.069942,           9.961e-05,           9.961e-05,           9.961e-05
                  16,            0.034902,            0.014846,            0.071984,               0.226,             0.38465,             0.19825,             0.12102,            0.030304,           0.0067523,            0.069054,          9.9552e-05,          9.9552e-05,          9.9552e-05
                  17,            0.034804,            0.014476,            0.070985,             0.23778,             0.40356,             0.23849,             0.15168,            0.028497,           0.0063097,            0.067292,           9.949e-05,           9.949e-05,           9.949e-05
                  18,            0.034373,            0.014017,            0.069908,             0.36017,             0.33129,              0.2521,             0.15977,            0.029426,           0.0062555,            0.065497,          9.9425e-05,          9.9425e-05,          9.9425e-05
                  19,            0.033468,            0.014106,             0.06772,             0.33904,             0.39845,             0.29837,             0.19446,            0.027285,             0.00579,            0.062907,          9.9355e-05,          9.9355e-05,          9.9355e-05
                  20,            0.033526,            0.013654,            0.067153,             0.27003,             0.39292,             0.30046,             0.18754,            0.028215,           0.0058953,            0.062851,          9.9282e-05,          9.9282e-05,          9.9282e-05
                  21,            0.033362,            0.013989,            0.065561,             0.29493,             0.38768,             0.30839,             0.19503,            0.028736,           0.0060795,             0.06085,          9.9205e-05,          9.9205e-05,          9.9205e-05
                  22,            0.032984,            0.013834,            0.063664,             0.34802,             0.37672,             0.32506,             0.20797,            0.027912,            0.006006,            0.061055,          9.9123e-05,          9.9123e-05,          9.9123e-05
                  23,            0.032945,            0.013564,            0.062482,             0.27949,             0.42381,              0.3434,             0.22054,            0.027448,           0.0060003,            0.058597,          9.9038e-05,          9.9038e-05,          9.9038e-05
                  24,            0.032311,              0.0134,            0.060688,             0.34283,             0.48109,             0.41196,             0.26589,             0.02706,           0.0057532,            0.054566,          9.8949e-05,          9.8949e-05,          9.8949e-05
                  25,            0.032643,              0.0133,            0.059281,              0.3537,             0.47696,             0.44937,             0.28901,             0.02759,           0.0058621,            0.053428,          9.8856e-05,          9.8856e-05,          9.8856e-05
                  26,            0.031976,              0.0133,            0.057525,              0.4322,             0.48773,              0.4686,             0.28898,            0.027757,           0.0061439,            0.052742,          9.8759e-05,          9.8759e-05,          9.8759e-05
                  27,            0.032162,            0.013187,            0.055954,             0.42346,             0.50042,             0.45823,             0.29655,            0.026878,           0.0056138,             0.05121,          9.8658e-05,          9.8658e-05,          9.8658e-05
                  28,            0.031655,            0.013104,            0.053807,             0.44873,             0.52282,             0.49679,             0.32622,            0.026087,           0.0056436,            0.049321,          9.8553e-05,          9.8553e-05,          9.8553e-05
