               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.082424,            0.056228,            0.062003,             0.18124,            0.091896,            0.013975,           0.0030331,            0.083501,            0.036062,            0.061491,          1.9981e-05,          1.9981e-05,            0.080039
                   1,            0.074009,            0.055032,            0.055536,             0.11735,             0.12015,            0.031942,           0.0074501,            0.077104,             0.03381,            0.051641,           3.998e-05,           3.998e-05,            0.060059
                   2,            0.070147,            0.054558,            0.051104,             0.23211,             0.16397,            0.074374,            0.021853,            0.072084,            0.034192,            0.047426,          5.9976e-05,          5.9976e-05,            0.040079
                   3,            0.066821,             0.05312,            0.047521,             0.28143,             0.22233,             0.15089,            0.052476,            0.066549,            0.031479,            0.040234,          7.9966e-05,          7.9966e-05,            0.020099
                   4,            0.064484,            0.052148,             0.04372,             0.33094,             0.30485,             0.24186,            0.090067,            0.061792,            0.030976,            0.033934,          9.9949e-05,          9.9949e-05,          0.00011927
                   5,             0.06206,            0.051571,            0.040662,             0.34185,             0.33174,             0.28366,             0.11576,            0.059836,            0.029334,            0.031389,           9.995e-05,           9.995e-05,           9.995e-05
                   6,            0.060213,            0.051214,            0.038026,             0.40958,             0.38316,             0.34445,             0.14656,            0.058368,            0.028833,            0.028584,           9.995e-05,           9.995e-05,           9.995e-05
                   7,            0.058494,            0.050469,            0.035928,             0.48164,             0.37919,             0.37593,             0.16333,            0.056335,             0.02941,            0.025447,          9.9928e-05,          9.9928e-05,          9.9928e-05
                   8,            0.057228,            0.049724,            0.034371,             0.48456,             0.41651,             0.41212,             0.18663,            0.055039,            0.028549,            0.025031,          9.9902e-05,          9.9902e-05,          9.9902e-05
                   9,             0.05636,            0.049317,            0.032735,             0.56642,             0.42754,             0.46599,             0.22016,            0.053729,            0.028012,            0.022759,          9.9872e-05,          9.9872e-05,          9.9872e-05
                  10,             0.05533,            0.048818,            0.031285,             0.55546,             0.48569,             0.50029,             0.24762,            0.052351,            0.026892,            0.020632,          9.9839e-05,          9.9839e-05,          9.9839e-05
                  11,            0.054441,            0.048188,            0.030043,             0.56642,             0.49207,             0.51601,             0.26076,            0.051528,            0.027033,            0.019948,          9.9801e-05,          9.9801e-05,          9.9801e-05
                  12,            0.053703,            0.048295,            0.029142,             0.59461,             0.49536,             0.52844,             0.26611,            0.050489,            0.027074,            0.018936,          9.9759e-05,          9.9759e-05,          9.9759e-05
                  13,             0.05286,            0.047708,             0.02811,             0.54674,             0.54778,               0.545,             0.28081,            0.049921,            0.026846,            0.018219,          9.9713e-05,          9.9713e-05,          9.9713e-05
                  14,            0.052028,            0.047217,            0.027082,             0.59754,             0.54912,             0.56699,             0.29785,            0.049322,            0.026467,            0.017692,          9.9663e-05,          9.9663e-05,          9.9663e-05
                  15,            0.051687,             0.04653,            0.026345,             0.65403,             0.54209,             0.59049,             0.31436,            0.048417,            0.026309,            0.016543,           9.961e-05,           9.961e-05,           9.961e-05
                  16,            0.051125,            0.046584,            0.025362,             0.66646,             0.54382,             0.59776,             0.32227,             0.04799,            0.026101,            0.016484,          9.9552e-05,          9.9552e-05,          9.9552e-05
                  17,            0.050495,            0.046109,            0.024687,             0.68515,             0.55748,             0.61908,             0.33632,            0.047583,            0.025822,            0.015624,           9.949e-05,           9.949e-05,           9.949e-05
                  18,             0.04992,             0.04545,            0.023946,              0.6639,             0.58818,             0.62821,             0.34685,            0.047061,            0.025493,            0.015067,          9.9425e-05,          9.9425e-05,          9.9425e-05
                  19,            0.049685,            0.045462,            0.023751,             0.68842,             0.57473,              0.6342,             0.35451,            0.046441,            0.025976,              0.0149,          9.9355e-05,          9.9355e-05,          9.9355e-05
                  20,            0.048917,            0.045997,            0.022828,             0.69367,              0.6005,             0.65271,             0.36738,            0.046001,            0.025316,            0.014225,          9.9282e-05,          9.9282e-05,          9.9282e-05
                  21,            0.048529,            0.045208,            0.022886,             0.69043,             0.60855,             0.65933,             0.37288,            0.045594,            0.025132,            0.013927,          9.9205e-05,          9.9205e-05,          9.9205e-05
                  22,            0.048168,            0.044849,            0.021971,             0.71636,             0.59832,             0.66566,             0.38335,            0.045222,            0.025054,            0.013565,          9.9123e-05,          9.9123e-05,          9.9123e-05
                  23,            0.047869,            0.044495,            0.021525,             0.70506,             0.61753,             0.66817,             0.38698,            0.044946,            0.024821,            0.013397,          9.9038e-05,          9.9038e-05,          9.9038e-05
                  24,              0.0474,             0.04397,            0.020932,              0.7303,             0.60804,             0.67336,             0.39139,            0.044438,            0.024952,            0.013003,          9.8949e-05,          9.8949e-05,          9.8949e-05
                  25,            0.047069,            0.044479,            0.020468,              0.7101,             0.63443,             0.68353,             0.40256,            0.044229,            0.024881,            0.012527,          9.8856e-05,          9.8856e-05,          9.8856e-05
                  26,            0.046558,            0.044036,            0.019961,             0.73031,             0.62166,             0.68713,             0.40535,            0.043827,            0.024658,            0.012218,          9.8759e-05,          9.8759e-05,          9.8759e-05
