               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.079617,            0.033892,            0.089428,           0.0012257,            0.042884,            0.000835,          0.00016901,            0.073921,            0.016981,            0.087344,            1.56e-05,            1.56e-05,            0.084416
                   1,            0.070352,            0.032455,            0.085827,           0.0071981,            0.043739,           0.0045699,           0.0011933,            0.067444,            0.016278,            0.085467,          3.1299e-05,          3.1299e-05,            0.068731
                   2,            0.063957,            0.029844,            0.084978,            0.021169,             0.13842,            0.013145,           0.0038663,            0.057438,            0.014389,            0.084623,          4.6996e-05,          4.6996e-05,            0.053047
                   3,            0.058922,            0.027695,            0.083674,            0.046477,             0.15774,             0.04203,             0.01517,            0.052786,            0.012694,            0.082014,          6.2689e-05,          6.2689e-05,            0.037363
                   4,            0.056536,            0.026156,            0.082431,             0.12253,             0.20015,            0.060474,            0.022571,            0.049082,            0.012692,            0.080127,          7.8375e-05,          7.8375e-05,            0.021678
                   5,            0.054381,            0.025153,            0.080976,            0.094165,             0.23565,            0.099035,             0.03781,            0.046492,            0.011384,            0.078385,          9.4053e-05,          9.4053e-05,           0.0059941
                   6,            0.051429,             0.02432,            0.079463,             0.29039,             0.16208,             0.12119,            0.050128,            0.044542,            0.011756,            0.076633,          9.9928e-05,          9.9928e-05,          9.9928e-05
                   7,            0.049844,            0.023193,            0.077497,             0.25162,             0.23741,             0.14098,            0.061504,            0.043397,            0.010812,            0.073722,          9.9928e-05,          9.9928e-05,          9.9928e-05
                   8,            0.048663,            0.023207,            0.075888,             0.15309,             0.37982,              0.1903,            0.086245,            0.040918,            0.010371,             0.07063,          9.9902e-05,          9.9902e-05,          9.9902e-05
                   9,            0.047022,            0.022805,            0.073356,              0.2112,             0.36335,             0.20553,            0.098113,            0.040252,            0.010284,            0.068811,          9.9872e-05,          9.9872e-05,          9.9872e-05
                  10,            0.046234,            0.022525,            0.071162,             0.29718,             0.35893,              0.2564,             0.11619,            0.039065,            0.010208,            0.065351,          9.9839e-05,          9.9839e-05,          9.9839e-05
                  11,            0.045493,            0.021682,            0.069736,             0.31086,             0.34748,             0.28207,             0.13685,            0.038651,            0.009646,            0.061978,          9.9801e-05,          9.9801e-05,          9.9801e-05
                  12,            0.044673,             0.02121,             0.06742,              0.3102,             0.36689,             0.29747,             0.14255,            0.037534,           0.0098656,            0.060414,          9.9759e-05,          9.9759e-05,          9.9759e-05
                  13,            0.043831,            0.021282,            0.065194,             0.33306,             0.48598,             0.37119,             0.18794,            0.035866,           0.0091402,            0.056276,          9.9713e-05,          9.9713e-05,          9.9713e-05
                  14,            0.043092,            0.020691,            0.062667,             0.33422,              0.4642,             0.39033,             0.20359,            0.035767,              0.0092,             0.05633,          9.9663e-05,          9.9663e-05,          9.9663e-05
                  15,            0.042425,            0.020312,            0.061149,             0.32518,             0.52082,             0.39056,             0.20066,            0.036118,            0.008772,            0.055211,           9.961e-05,           9.961e-05,           9.961e-05
                  16,            0.042047,            0.020297,            0.059237,             0.32334,             0.59345,             0.44987,             0.24322,            0.033907,           0.0087174,            0.052058,          9.9552e-05,          9.9552e-05,          9.9552e-05
                  17,            0.041749,            0.020331,            0.057277,              0.4073,             0.49665,             0.46155,             0.24594,            0.033608,            0.008793,            0.052201,           9.949e-05,           9.949e-05,           9.949e-05
                  18,            0.040963,            0.019577,            0.055766,             0.43911,              0.5614,             0.51434,             0.28174,            0.034121,           0.0083987,            0.048381,          9.9425e-05,          9.9425e-05,          9.9425e-05
                  19,            0.040507,             0.01936,            0.053703,             0.44924,             0.55043,             0.49898,             0.27041,            0.034113,           0.0084363,            0.047926,          9.9355e-05,          9.9355e-05,          9.9355e-05
                  20,            0.039912,            0.019276,            0.051561,             0.44248,             0.57322,              0.5429,             0.30363,            0.033206,           0.0083648,            0.044926,          9.9282e-05,          9.9282e-05,          9.9282e-05
                  21,            0.039793,            0.019035,            0.050625,              0.5224,              0.5367,             0.55484,             0.31478,            0.033082,           0.0083585,            0.044595,          9.9205e-05,          9.9205e-05,          9.9205e-05
                  22,            0.038679,            0.018392,             0.04928,             0.54689,             0.59529,             0.57133,             0.33275,            0.031503,            0.008265,            0.042945,          9.9123e-05,          9.9123e-05,          9.9123e-05
                  23,            0.039076,            0.018451,            0.047205,             0.49655,             0.66298,             0.60022,              0.3469,            0.032302,           0.0083049,             0.04119,          9.9038e-05,          9.9038e-05,          9.9038e-05
                  24,             0.03826,            0.018294,            0.046537,             0.54912,             0.60979,             0.61296,              0.3682,            0.031051,           0.0085199,            0.039101,          9.8949e-05,          9.8949e-05,          9.8949e-05
                  25,            0.038115,            0.017909,            0.045738,             0.55162,             0.63883,             0.64817,             0.38324,            0.031318,            0.007976,            0.037609,          9.8856e-05,          9.8856e-05,          9.8856e-05
                  26,            0.037193,            0.017864,            0.043068,              0.5976,             0.61761,             0.64211,             0.38028,            0.029818,           0.0078941,            0.037418,          9.8759e-05,          9.8759e-05,          9.8759e-05
                  27,            0.036719,            0.018028,            0.042774,             0.56515,             0.61188,             0.62203,             0.36572,            0.031578,           0.0081987,            0.038891,          9.8658e-05,          9.8658e-05,          9.8658e-05
                  28,             0.03692,            0.018213,            0.041484,             0.59258,             0.63545,              0.6756,             0.41366,            0.030306,            0.007768,            0.037773,          9.8553e-05,          9.8553e-05,          9.8553e-05
                  29,            0.036603,            0.017797,            0.040142,             0.57169,             0.68193,             0.67785,             0.40568,            0.030462,           0.0078084,            0.035932,          9.8445e-05,          9.8445e-05,          9.8445e-05
                  30,            0.036638,            0.017697,            0.039087,             0.63791,             0.61759,             0.67492,              0.4201,            0.030245,           0.0076028,            0.035501,          9.8332e-05,          9.8332e-05,          9.8332e-05
                  31,            0.035886,            0.017486,            0.038532,             0.60918,             0.68072,             0.69361,             0.43083,            0.029107,           0.0075614,            0.033287,          9.8216e-05,          9.8216e-05,          9.8216e-05
                  32,            0.035233,            0.017494,            0.036903,             0.63544,             0.65741,             0.71057,             0.44469,            0.028957,             0.00753,            0.032161,          9.8096e-05,          9.8096e-05,          9.8096e-05
                  33,            0.034965,             0.01666,            0.035675,             0.70822,              0.6323,             0.72937,             0.45736,            0.029549,           0.0073761,            0.032549,          9.7972e-05,          9.7972e-05,          9.7972e-05
                  34,            0.034955,            0.017187,            0.035161,              0.6222,             0.66716,             0.71475,             0.45483,            0.028604,           0.0073153,            0.033421,          9.7844e-05,          9.7844e-05,          9.7844e-05
                  35,            0.033905,            0.017085,            0.033921,             0.63595,              0.7002,             0.71914,             0.44451,            0.028669,           0.0075067,            0.033575,          9.7713e-05,          9.7713e-05,          9.7713e-05
                  36,              0.0342,            0.016624,            0.033134,             0.70463,             0.65002,             0.72603,             0.46206,            0.028504,           0.0074744,            0.031073,          9.7577e-05,          9.7577e-05,          9.7577e-05
                  37,             0.03369,            0.016826,             0.03279,             0.69291,             0.69176,             0.75649,             0.48622,            0.027796,            0.007154,            0.029766,          9.7438e-05,          9.7438e-05,          9.7438e-05
                  38,            0.033967,             0.01675,            0.030936,             0.67562,             0.68179,              0.7296,             0.46456,            0.028819,             0.00723,            0.030708,          9.7295e-05,          9.7295e-05,          9.7295e-05
                  39,            0.033637,            0.016778,            0.030921,             0.74411,             0.69819,             0.77981,             0.51235,             0.02736,           0.0073726,            0.028472,          9.7148e-05,          9.7148e-05,          9.7148e-05
                  40,            0.033571,            0.016551,            0.030136,             0.72317,             0.65359,             0.74838,             0.48666,            0.028233,           0.0073177,            0.030561,          9.6998e-05,          9.6998e-05,          9.6998e-05
                  41,            0.032703,            0.016331,            0.029728,              0.7164,             0.70943,             0.76448,             0.50085,            0.028137,           0.0070757,            0.027717,          9.6844e-05,          9.6844e-05,          9.6844e-05
                  42,            0.032714,            0.016505,            0.029103,             0.74861,              0.6834,              0.7807,              0.5106,            0.026955,           0.0071075,            0.027655,          9.6686e-05,          9.6686e-05,          9.6686e-05
                  43,            0.032273,            0.015925,             0.02777,             0.76818,             0.67175,             0.78328,             0.51502,            0.026754,            0.006973,            0.026903,          9.6524e-05,          9.6524e-05,          9.6524e-05
                  44,            0.031916,            0.015917,            0.027177,             0.71744,             0.68647,              0.7638,             0.50471,            0.027242,           0.0070191,            0.027704,          9.6359e-05,          9.6359e-05,          9.6359e-05
                  45,            0.031519,            0.016007,            0.026849,             0.74397,                0.76,             0.81698,              0.5469,            0.026351,           0.0070433,            0.025094,          9.6189e-05,          9.6189e-05,          9.6189e-05
                  46,            0.031912,            0.016031,            0.026091,              0.6949,             0.78083,             0.79994,             0.54429,             0.02615,           0.0068889,            0.026064,          9.6017e-05,          9.6017e-05,          9.6017e-05
                  47,            0.031294,            0.015882,            0.024553,              0.6853,             0.74021,             0.77829,             0.52046,            0.026258,           0.0071785,            0.028188,           9.584e-05,           9.584e-05,           9.584e-05
                  48,             0.03141,            0.016013,             0.02442,             0.77541,             0.70975,             0.81793,             0.55043,            0.026174,           0.0067873,            0.024796,           9.566e-05,           9.566e-05,           9.566e-05
                  49,            0.031376,              0.0156,            0.023991,             0.76091,             0.73837,             0.80416,             0.54534,            0.026178,           0.0068777,            0.025563,          9.5476e-05,          9.5476e-05,          9.5476e-05
                  50,             0.03119,            0.015778,            0.023942,             0.72201,             0.75799,             0.80552,             0.53251,            0.025589,           0.0069805,            0.025934,          9.5289e-05,          9.5289e-05,          9.5289e-05
                  51,            0.030528,            0.015515,            0.023131,             0.76818,             0.76505,             0.82304,             0.56892,            0.025004,           0.0067253,            0.023964,          9.5098e-05,          9.5098e-05,          9.5098e-05
                  52,            0.030364,            0.015105,            0.024162,             0.77968,             0.73351,             0.81965,             0.55744,             0.02528,           0.0068073,            0.025027,          9.4903e-05,          9.4903e-05,          9.4903e-05
                  53,             0.03051,             0.01545,            0.022928,             0.74959,             0.74997,              0.8248,              0.5737,            0.024416,            0.006658,            0.023562,          9.4705e-05,          9.4705e-05,          9.4705e-05
                  54,            0.029578,            0.015209,            0.020855,             0.73636,              0.7725,             0.81976,              0.5597,             0.02517,           0.0068173,            0.025646,          9.4504e-05,          9.4504e-05,          9.4504e-05
                  55,            0.029854,            0.015135,            0.021257,              0.7329,             0.77347,             0.82132,             0.57272,            0.025208,           0.0065797,            0.025188,          9.4298e-05,          9.4298e-05,          9.4298e-05
                  56,            0.029884,            0.015253,            0.021223,             0.76085,             0.73664,             0.82592,             0.57022,            0.024533,            0.006789,             0.02381,          9.4089e-05,          9.4089e-05,          9.4089e-05
                  57,            0.029698,            0.014969,            0.020843,             0.77451,             0.75212,             0.82975,             0.57423,            0.024434,           0.0065584,             0.02387,          9.3877e-05,          9.3877e-05,          9.3877e-05
                  58,            0.029053,            0.015281,            0.020832,             0.77036,             0.76019,             0.83711,              0.5826,            0.024328,           0.0066771,            0.023835,          9.3661e-05,          9.3661e-05,          9.3661e-05
                  59,            0.029703,            0.015326,            0.019229,             0.80636,             0.77894,             0.84233,             0.58062,            0.024376,           0.0066642,            0.022288,          9.3442e-05,          9.3442e-05,          9.3442e-05
                  60,            0.029169,            0.014855,             0.01974,             0.82075,              0.7216,             0.82446,             0.57104,            0.024236,            0.006659,            0.026252,          9.3219e-05,          9.3219e-05,          9.3219e-05
                  61,            0.028793,            0.015075,            0.019945,             0.79109,             0.74102,             0.82278,             0.58596,            0.024143,           0.0066208,             0.02512,          9.2993e-05,          9.2993e-05,          9.2993e-05
                  62,            0.028344,             0.01479,            0.018455,             0.79439,             0.75058,             0.83282,              0.5776,            0.024106,           0.0066872,            0.024609,          9.2764e-05,          9.2764e-05,          9.2764e-05
                  63,            0.028229,            0.014658,            0.019213,             0.76334,             0.79776,             0.83945,             0.59406,            0.023505,           0.0064648,            0.023544,          9.2531e-05,          9.2531e-05,          9.2531e-05
                  64,             0.02799,            0.014621,            0.018942,             0.77308,             0.76987,             0.83105,             0.59467,            0.023808,           0.0065731,            0.024658,          9.2294e-05,          9.2294e-05,          9.2294e-05
                  65,            0.028378,            0.014596,            0.018606,              0.7834,             0.79894,             0.85412,             0.60644,            0.023443,           0.0064747,            0.021698,          9.2054e-05,          9.2054e-05,          9.2054e-05
