               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.07412,            0.025867,            0.087827,          0.00015464,            0.076016,          0.00011188,          3.4576e-05,            0.066759,            0.016117,              0.0869,            1.56e-05,            1.56e-05,            0.084416
                   1,            0.063886,            0.027227,              0.0864,            0.035241,            0.036308,           0.0048922,           0.0014974,            0.060222,            0.014875,            0.086357,          3.1299e-05,          3.1299e-05,            0.068731
                   2,             0.05974,            0.024461,            0.086098,           0.0073946,            0.012775,           0.0027477,          0.00060391,            0.092926,              0.0102,            0.086394,          4.6996e-05,          4.6996e-05,            0.053047
                   3,            0.054044,            0.022626,            0.085609,             0.19199,              0.2196,            0.036825,            0.013541,            0.048544,            0.010998,            0.084639,          6.2689e-05,          6.2689e-05,            0.037363
                   4,            0.051322,            0.020842,            0.084945,            0.090345,             0.17388,            0.039077,            0.015913,            0.045025,            0.011796,             0.08368,          7.8375e-05,          7.8375e-05,            0.021678
                   5,             0.04819,            0.019505,            0.083625,            0.046695,             0.28966,            0.044296,            0.017955,             0.04549,           0.0095087,            0.082342,          9.4053e-05,          9.4053e-05,           0.0059941
                   6,             0.04548,            0.018862,            0.082264,            0.099973,             0.29888,            0.070144,            0.032484,            0.037802,           0.0098214,            0.081346,          9.9928e-05,          9.9928e-05,          9.9928e-05
                   7,             0.04348,            0.017947,            0.080951,             0.11639,             0.24585,            0.076044,            0.034492,            0.041807,           0.0099882,            0.081053,          9.9928e-05,          9.9928e-05,          9.9928e-05
                   8,             0.04199,            0.017548,            0.079132,             0.25935,             0.27399,            0.097254,            0.047481,            0.034856,           0.0091954,            0.076413,          9.9902e-05,          9.9902e-05,          9.9902e-05
                   9,            0.040823,            0.017096,            0.078215,             0.18379,             0.33949,             0.11937,            0.066075,            0.033915,           0.0081585,            0.074838,          9.9872e-05,          9.9872e-05,          9.9872e-05
                  10,            0.040993,            0.016791,            0.076569,             0.23069,             0.27732,             0.13953,            0.078945,            0.032599,           0.0086284,            0.073468,          9.9839e-05,          9.9839e-05,          9.9839e-05
                  11,            0.039132,            0.016081,            0.074715,             0.13781,             0.50376,             0.16682,            0.095135,            0.032599,           0.0076247,            0.073326,          9.9801e-05,          9.9801e-05,          9.9801e-05
                  12,            0.038175,            0.015656,            0.073226,             0.27336,             0.35945,             0.20005,             0.11226,            0.032978,           0.0082919,            0.068236,          9.9759e-05,          9.9759e-05,          9.9759e-05
                  13,            0.037695,            0.015298,            0.071541,             0.21436,             0.44003,             0.23624,             0.13383,            0.031337,           0.0073031,            0.066737,          9.9713e-05,          9.9713e-05,          9.9713e-05
                  14,            0.036738,            0.015341,            0.070165,             0.29898,             0.42091,             0.28921,             0.17242,            0.030492,           0.0071862,            0.063642,          9.9663e-05,          9.9663e-05,          9.9663e-05
                  15,             0.03624,            0.015231,            0.068233,             0.22473,             0.26556,             0.17538,             0.10391,            0.038686,           0.0085131,            0.067589,           9.961e-05,           9.961e-05,           9.961e-05
                  16,            0.035427,             0.01495,            0.066324,             0.34021,             0.39175,             0.29535,             0.16726,            0.030473,            0.008162,            0.061662,          9.9552e-05,          9.9552e-05,          9.9552e-05
                  17,             0.03538,            0.014707,            0.064745,             0.31147,             0.43528,             0.32672,             0.20727,            0.029765,           0.0067358,            0.060321,           9.949e-05,           9.949e-05,           9.949e-05
                  18,            0.035467,            0.014371,            0.063282,             0.36387,             0.42539,             0.31946,             0.18562,            0.030665,           0.0069909,            0.059593,          9.9425e-05,          9.9425e-05,          9.9425e-05
                  19,             0.03487,            0.014471,            0.061546,              0.3333,             0.48231,             0.38304,              0.2376,            0.028798,           0.0066633,              0.0554,          9.9355e-05,          9.9355e-05,          9.9355e-05
                  20,            0.033778,            0.013958,             0.05994,             0.34968,             0.48306,             0.39427,             0.23793,            0.028156,           0.0066223,            0.054467,          9.9282e-05,          9.9282e-05,          9.9282e-05
                  21,            0.033202,            0.013847,            0.058036,             0.37781,             0.49685,             0.41621,             0.26118,            0.028515,           0.0066745,            0.053416,          9.9205e-05,          9.9205e-05,          9.9205e-05
                  22,            0.033262,            0.013883,            0.056178,             0.40496,             0.51319,             0.45442,              0.2828,            0.029035,           0.0066406,            0.051263,          9.9123e-05,          9.9123e-05,          9.9123e-05
                  23,            0.033126,            0.013529,            0.055432,             0.40568,              0.4668,             0.42947,             0.27212,             0.02811,           0.0065684,            0.053854,          9.9038e-05,          9.9038e-05,          9.9038e-05
                  24,            0.032604,            0.013493,            0.054691,             0.41687,             0.45518,             0.43639,              0.2754,             0.02965,           0.0068059,            0.048805,          9.8949e-05,          9.8949e-05,          9.8949e-05
                  25,            0.031726,            0.013392,             0.05263,             0.39657,             0.59593,             0.50209,             0.32105,            0.027886,           0.0064986,              0.0472,          9.8856e-05,          9.8856e-05,          9.8856e-05
                  26,            0.031617,            0.013335,            0.050219,             0.35795,             0.56476,             0.47587,             0.30519,            0.027265,           0.0065897,            0.049536,          9.8759e-05,          9.8759e-05,          9.8759e-05
                  27,            0.031451,            0.013305,            0.049047,             0.45255,             0.56492,             0.52422,             0.34899,            0.025936,           0.0063475,            0.044209,          9.8658e-05,          9.8658e-05,          9.8658e-05
                  28,            0.030958,            0.013203,            0.047543,             0.45705,             0.62219,             0.55972,             0.37486,            0.025435,           0.0062127,             0.04327,          9.8553e-05,          9.8553e-05,          9.8553e-05
