               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.078421,            0.043123,            0.063223,             0.10874,             0.05965,           0.0058157,           0.0013241,            0.080517,            0.022827,            0.056291,          1.9981e-05,          1.9981e-05,            0.080039
                   1,            0.069963,            0.040644,            0.057564,             0.50016,            0.051239,            0.034034,            0.009355,            0.075139,            0.021338,            0.051039,          3.9951e-05,          3.9951e-05,            0.060059
                   2,             0.06606,            0.039589,            0.052117,             0.24886,             0.16432,            0.064483,            0.019218,            0.069551,            0.021244,            0.045196,            5.98e-05,            5.98e-05,            0.040079
                   3,            0.063003,            0.038679,            0.047703,             0.40129,             0.21244,             0.16691,            0.063516,            0.061615,            0.020625,            0.039895,          7.9441e-05,          7.9441e-05,            0.020099
                   4,            0.060521,            0.038245,            0.044049,             0.38785,             0.26321,             0.22625,            0.088884,            0.059223,            0.019729,            0.035099,          9.8783e-05,          9.8783e-05,          0.00011811
                   5,            0.058496,            0.037518,            0.040636,             0.41183,             0.33717,             0.29006,              0.1214,             0.05662,            0.019803,            0.030727,          9.8132e-05,          9.8132e-05,          9.8132e-05
                   6,            0.056857,            0.037087,            0.038027,             0.45669,             0.39186,             0.36837,             0.16552,            0.054218,            0.018923,            0.026801,          9.8132e-05,          9.8132e-05,          9.8132e-05
                   7,            0.055415,            0.036535,            0.035363,             0.48066,             0.40189,             0.39775,              0.1806,            0.052832,            0.018582,            0.024178,          9.7318e-05,          9.7318e-05,          9.7318e-05
                   8,            0.054127,            0.035824,            0.033932,             0.50913,             0.42892,             0.43459,             0.20672,            0.051857,            0.017935,            0.023259,          9.6361e-05,          9.6361e-05,          9.6361e-05
                   9,             0.05324,            0.035402,            0.031963,             0.53978,              0.4581,             0.47165,             0.23109,            0.050431,            0.017966,            0.020902,          9.5266e-05,          9.5266e-05,          9.5266e-05
                  10,            0.052325,            0.035055,            0.030354,             0.55978,             0.46682,             0.49646,              0.2472,            0.049553,            0.018438,            0.019592,          9.4034e-05,          9.4034e-05,          9.4034e-05
                  11,            0.051605,            0.034803,            0.029433,             0.60553,             0.48389,             0.52787,             0.26969,            0.048723,            0.017897,            0.018355,           9.267e-05,           9.267e-05,           9.267e-05
                  12,            0.050963,            0.034727,            0.028037,             0.58182,             0.51976,             0.54653,             0.28695,            0.048059,            0.017498,            0.017522,          9.1178e-05,          9.1178e-05,          9.1178e-05
                  13,             0.05019,            0.033967,            0.027045,             0.63811,             0.50833,             0.55549,             0.29492,            0.047509,            0.017282,             0.01696,          8.9562e-05,          8.9562e-05,          8.9562e-05
                  14,            0.049637,            0.033808,            0.025923,             0.65399,             0.54177,             0.58922,             0.31847,             0.04668,            0.016958,            0.016152,          8.7828e-05,          8.7828e-05,          8.7828e-05
                  15,            0.049111,            0.033683,            0.024957,             0.65806,             0.55377,             0.60215,             0.33265,             0.04632,            0.016991,            0.015411,          8.5981e-05,          8.5981e-05,          8.5981e-05
                  16,            0.048656,             0.03343,            0.024542,             0.66071,             0.56317,             0.61131,             0.34263,            0.045492,            0.016745,            0.014584,          8.4025e-05,          8.4025e-05,          8.4025e-05
                  17,            0.048108,            0.033177,            0.023624,               0.674,              0.5716,             0.62092,             0.34755,            0.045136,            0.016655,            0.014479,          8.1968e-05,          8.1968e-05,          8.1968e-05
                  18,            0.047595,            0.032775,            0.022983,             0.67509,               0.579,             0.62538,             0.35636,            0.044772,             0.01645,            0.013716,          7.9816e-05,          7.9816e-05,          7.9816e-05
                  19,            0.046926,            0.032479,            0.022194,             0.67759,              0.5926,             0.64057,             0.36862,            0.044387,            0.016391,            0.013248,          7.7574e-05,          7.7574e-05,          7.7574e-05
                  20,            0.046681,             0.03228,            0.021583,             0.72972,             0.58475,             0.65666,             0.38284,            0.044066,            0.016267,            0.013127,           7.525e-05,           7.525e-05,           7.525e-05
                  21,            0.046778,             0.03237,            0.020995,             0.74238,             0.58008,             0.65923,             0.38742,             0.04395,            0.016335,            0.012739,          7.2851e-05,          7.2851e-05,          7.2851e-05
                  22,            0.046065,            0.031846,            0.020666,               0.697,             0.62743,             0.66787,             0.39559,             0.04346,            0.016146,            0.012497,          7.0384e-05,          7.0384e-05,          7.0384e-05
                  23,            0.045394,            0.031658,            0.019629,             0.73405,             0.60875,             0.67815,             0.40602,            0.043157,            0.016035,            0.012056,          6.7857e-05,          6.7857e-05,          6.7857e-05
                  24,            0.045353,            0.031735,             0.01913,             0.73549,             0.61405,             0.67856,             0.40912,            0.042917,            0.016001,             0.01217,          6.5276e-05,          6.5276e-05,          6.5276e-05
                  25,             0.04496,            0.031501,            0.018928,             0.74353,             0.61396,             0.68607,             0.41485,            0.042581,            0.015851,            0.011626,          6.2652e-05,          6.2652e-05,          6.2652e-05
                  26,            0.044556,             0.03114,            0.018417,             0.72336,             0.63873,             0.68891,             0.42028,            0.042363,            0.015795,            0.011473,           5.999e-05,           5.999e-05,           5.999e-05
                  27,            0.044239,            0.030922,            0.017939,             0.75129,             0.62713,             0.69394,             0.42474,            0.042277,            0.015773,            0.011422,          5.7299e-05,          5.7299e-05,          5.7299e-05
                  28,            0.043763,            0.030567,             0.01733,              0.7394,             0.64099,             0.69823,             0.42553,            0.042087,            0.015722,            0.011239,          5.4588e-05,          5.4588e-05,          5.4588e-05
                  29,            0.043551,            0.030639,            0.016932,             0.74949,              0.6481,             0.70579,             0.43534,            0.041859,            0.015609,            0.010886,          5.1864e-05,          5.1864e-05,          5.1864e-05
                  30,            0.043134,            0.030187,            0.016436,             0.75629,              0.6484,              0.7074,             0.43676,            0.041783,            0.015576,            0.010847,          4.9136e-05,          4.9136e-05,          4.9136e-05
                  31,            0.043092,            0.030202,            0.016184,             0.76361,             0.64414,             0.70882,             0.43889,            0.041549,            0.015601,            0.010684,          4.6412e-05,          4.6412e-05,          4.6412e-05
                  32,            0.042706,            0.029984,            0.015423,             0.77235,             0.64171,             0.71418,              0.4429,            0.041426,            0.015532,            0.010616,          4.3701e-05,          4.3701e-05,          4.3701e-05
