               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.083168,            0.056747,            0.062288,            0.016021,              0.1603,            0.010457,           0.0036594,            0.089834,            0.032681,            0.064748,          1.9981e-05,          1.9981e-05,            0.080039
                   1,            0.074546,            0.055561,            0.055833,            0.019199,             0.13869,            0.010723,           0.0031762,            0.091222,            0.030814,            0.058972,          3.9951e-05,          3.9951e-05,            0.060059
                   2,            0.070586,            0.054483,            0.051401,             0.15035,             0.16021,            0.049983,            0.015521,            0.076382,            0.030342,            0.057494,            5.98e-05,            5.98e-05,            0.040079
                   3,            0.067533,            0.053761,            0.047393,             0.32797,             0.22572,             0.14611,            0.046815,            0.066804,            0.027294,            0.040077,          7.9441e-05,          7.9441e-05,            0.020099
                   4,            0.064471,            0.052434,            0.044209,             0.37288,             0.31667,             0.22536,            0.082701,            0.062455,            0.027572,            0.032959,          9.8783e-05,          9.8783e-05,          0.00011811
                   5,            0.062341,            0.052384,             0.04109,             0.44574,              0.3259,             0.29268,             0.11727,            0.060673,            0.025942,            0.030463,          9.8132e-05,          9.8132e-05,          9.8132e-05
                   6,            0.060299,            0.051362,            0.038656,             0.42279,              0.3678,             0.34483,             0.14713,            0.058205,            0.025384,            0.027407,          9.8132e-05,          9.8132e-05,          9.8132e-05
                   7,            0.058553,            0.050652,            0.036391,             0.43014,             0.38754,             0.37632,             0.16595,             0.05682,             0.02584,            0.026452,          9.7318e-05,          9.7318e-05,          9.7318e-05
                   8,            0.057212,            0.049971,            0.034563,             0.48239,             0.42047,             0.41925,             0.19224,            0.054954,            0.024946,            0.023659,          9.6361e-05,          9.6361e-05,          9.6361e-05
                   9,             0.05594,              0.0494,            0.032949,             0.50883,             0.44866,             0.44708,             0.21217,            0.053471,            0.024466,            0.021615,          9.5266e-05,          9.5266e-05,          9.5266e-05
                  10,            0.054907,            0.048929,            0.031447,             0.53727,             0.46628,             0.48214,             0.23418,            0.052245,            0.024169,            0.020998,          9.4034e-05,          9.4034e-05,          9.4034e-05
                  11,            0.053931,            0.047776,            0.030166,             0.56047,              0.4908,             0.51027,             0.25338,            0.051246,            0.023664,            0.019132,           9.267e-05,           9.267e-05,           9.267e-05
                  12,            0.053563,            0.047521,            0.029097,             0.57892,             0.51319,             0.53305,             0.27221,            0.050223,             0.02334,            0.018348,          9.1178e-05,          9.1178e-05,          9.1178e-05
                  13,            0.052368,            0.047449,            0.028188,             0.60865,             0.52164,             0.55116,             0.28388,             0.04949,            0.023408,            0.017415,          8.9562e-05,          8.9562e-05,          8.9562e-05
                  14,            0.051807,            0.047297,            0.026946,             0.61433,             0.53707,             0.56638,             0.29506,            0.049095,            0.023042,            0.016776,          8.7828e-05,          8.7828e-05,          8.7828e-05
                  15,            0.050891,              0.0462,            0.025986,              0.6377,             0.53868,             0.58586,             0.31074,            0.048185,             0.02297,            0.015959,          8.5981e-05,          8.5981e-05,          8.5981e-05
                  16,            0.050244,            0.046058,            0.025484,             0.68332,             0.54098,             0.60522,             0.32592,             0.04741,            0.022857,            0.015644,          8.4025e-05,          8.4025e-05,          8.4025e-05
                  17,            0.049922,            0.045398,            0.024577,             0.66631,             0.56716,             0.61656,             0.33807,            0.046946,            0.022558,              0.0148,          8.1968e-05,          8.1968e-05,          8.1968e-05
                  18,            0.049333,            0.045567,            0.023658,             0.69644,             0.56239,             0.62865,             0.34531,             0.04645,            0.022671,             0.01431,          7.9816e-05,          7.9816e-05,          7.9816e-05
                  19,            0.048907,            0.045382,            0.023201,             0.68962,              0.5801,             0.64229,             0.35974,            0.045979,            0.022111,            0.014014,          7.7574e-05,          7.7574e-05,          7.7574e-05
                  20,            0.048311,            0.044859,            0.022658,             0.69688,             0.59791,             0.65191,             0.36829,            0.045488,             0.02209,            0.013546,           7.525e-05,           7.525e-05,           7.525e-05
                  21,             0.04802,            0.045039,            0.021997,             0.69788,             0.59929,             0.65583,             0.37449,            0.045227,            0.022366,            0.013318,          7.2851e-05,          7.2851e-05,          7.2851e-05
                  22,            0.047247,            0.044309,            0.021509,             0.71245,             0.60748,             0.67494,             0.38664,            0.044827,            0.021954,            0.012821,          7.0384e-05,          7.0384e-05,          7.0384e-05
                  23,            0.047006,            0.043817,            0.020793,             0.71508,             0.61788,             0.67901,             0.39445,            0.044439,            0.021839,            0.012328,          6.7857e-05,          6.7857e-05,          6.7857e-05
                  24,            0.046372,            0.043622,            0.020169,              0.7408,             0.60528,             0.68204,             0.39927,            0.044166,            0.021709,            0.012238,          6.5276e-05,          6.5276e-05,          6.5276e-05
                  25,            0.046073,            0.042949,            0.019586,             0.73399,               0.622,             0.69165,             0.40795,            0.043912,            0.021557,            0.011816,          6.2652e-05,          6.2652e-05,          6.2652e-05
                  26,            0.045718,            0.043294,             0.01927,              0.7214,             0.64302,             0.69325,              0.4103,            0.043651,            0.021599,            0.012021,           5.999e-05,           5.999e-05,           5.999e-05
                  27,            0.045175,            0.042563,            0.018719,             0.74555,             0.63108,             0.70183,             0.41849,            0.043443,            0.021441,            0.011646,          5.7299e-05,          5.7299e-05,          5.7299e-05
                  28,            0.045001,            0.042442,            0.018426,             0.74877,             0.63209,             0.70367,             0.42162,            0.043287,              0.0214,             0.01143,          5.4588e-05,          5.4588e-05,          5.4588e-05
                  29,            0.044454,            0.042679,            0.017833,             0.74036,             0.64712,             0.71141,             0.42815,            0.043063,            0.021352,            0.011336,          5.1864e-05,          5.1864e-05,          5.1864e-05
                  30,            0.044383,            0.042024,            0.017547,             0.75851,             0.63636,             0.71404,             0.43199,             0.04289,            0.021263,            0.011158,          4.9136e-05,          4.9136e-05,          4.9136e-05
                  31,            0.044017,            0.041777,            0.017111,             0.74336,             0.65161,             0.71623,             0.43667,            0.042717,            0.021177,            0.010979,          4.6412e-05,          4.6412e-05,          4.6412e-05
                  32,            0.043533,            0.041552,            0.016523,             0.75417,             0.65217,             0.72403,             0.43996,            0.042566,            0.021214,            0.010838,          4.3701e-05,          4.3701e-05,          4.3701e-05
                  33,            0.043411,            0.041724,            0.016319,             0.76635,             0.64225,             0.72147,             0.44122,            0.042472,            0.021192,             0.01085,           4.101e-05,           4.101e-05,           4.101e-05
                  34,            0.042951,            0.040942,            0.015997,             0.74652,             0.66281,             0.72617,             0.44329,            0.042329,            0.021122,            0.010624,          3.8348e-05,          3.8348e-05,          3.8348e-05
                  35,            0.042455,            0.040882,            0.015532,             0.74258,             0.66518,             0.72568,             0.44499,            0.042222,            0.021079,            0.010593,          3.5724e-05,          3.5724e-05,          3.5724e-05
                  36,            0.042426,            0.040483,            0.015259,             0.76962,             0.65482,             0.72968,             0.44861,            0.042158,            0.021024,            0.010523,          3.3143e-05,          3.3143e-05,          3.3143e-05
                  37,             0.04216,            0.040404,             0.01472,             0.77028,             0.65419,             0.73118,             0.45125,            0.042077,             0.02107,            0.010424,          3.0616e-05,          3.0616e-05,          3.0616e-05
                  38,             0.04189,            0.039522,            0.014575,             0.75593,             0.66176,              0.7312,             0.45352,            0.042007,            0.021008,            0.010304,          2.8149e-05,          2.8149e-05,          2.8149e-05
                  39,            0.041738,            0.039692,            0.014359,             0.75303,             0.66712,             0.73194,              0.4557,            0.041962,            0.020996,            0.010346,           2.575e-05,           2.575e-05,           2.575e-05
                  40,            0.041357,            0.039133,            0.014116,             0.74625,             0.67315,             0.73259,             0.45567,            0.041947,            0.021001,            0.010394,          2.3426e-05,          2.3426e-05,          2.3426e-05
                  41,              0.0409,            0.038918,            0.013749,             0.77418,             0.65656,             0.73431,             0.45726,            0.041891,            0.021011,            0.010335,          2.1184e-05,          2.1184e-05,          2.1184e-05
                  42,            0.040862,             0.03894,            0.013627,             0.75466,             0.66944,              0.7347,             0.45901,             0.04188,             0.02102,            0.010344,          1.9032e-05,          1.9032e-05,          1.9032e-05
                  43,            0.040656,            0.038991,            0.013334,             0.73145,              0.6889,             0.73569,             0.46097,            0.041861,            0.021035,            0.010357,          1.6975e-05,          1.6975e-05,          1.6975e-05
                  44,            0.040422,            0.038604,              0.0131,             0.74593,             0.68088,             0.73662,             0.46081,             0.04185,            0.021025,            0.010325,          1.5019e-05,          1.5019e-05,          1.5019e-05
                  45,            0.040223,            0.038493,            0.012787,             0.77171,             0.66315,             0.73795,              0.4632,             0.04182,            0.021023,            0.010335,          1.3172e-05,          1.3172e-05,          1.3172e-05
                  46,            0.039927,            0.038091,            0.012781,             0.77227,             0.66384,             0.73832,             0.46331,            0.041791,            0.021019,            0.010298,          1.1438e-05,          1.1438e-05,          1.1438e-05
                  47,            0.040093,            0.038369,            0.012602,             0.75268,             0.68047,             0.73843,             0.46323,            0.041771,            0.021021,            0.010293,           9.822e-06,           9.822e-06,           9.822e-06
                  48,             0.03972,            0.038045,            0.012396,             0.75538,             0.67707,             0.73844,             0.46296,            0.041767,            0.021025,            0.010274,            8.33e-06,            8.33e-06,            8.33e-06
                  49,            0.039657,            0.037724,            0.012325,             0.76037,             0.67503,             0.73921,             0.46311,            0.041764,            0.021025,            0.010264,           6.966e-06,           6.966e-06,           6.966e-06
                  50,            0.039464,            0.037777,             0.01221,             0.77205,             0.66599,             0.73903,             0.46367,            0.041761,            0.021034,            0.010263,          5.7343e-06,          5.7343e-06,          5.7343e-06
                  51,            0.039663,            0.037827,            0.012075,             0.76729,             0.66947,             0.73901,             0.46416,            0.041759,            0.021043,            0.010273,          4.6385e-06,          4.6385e-06,          4.6385e-06
                  52,            0.039434,             0.03748,            0.011995,             0.76763,             0.66972,              0.7391,             0.46431,            0.041763,            0.021056,            0.010286,           3.682e-06,           3.682e-06,           3.682e-06
                  53,            0.039133,             0.03733,             0.01199,             0.76623,             0.67053,             0.73903,             0.46453,            0.041764,            0.021064,            0.010294,          2.8677e-06,          2.8677e-06,          2.8677e-06
                  54,            0.039234,            0.037322,             0.01202,              0.7681,             0.66939,             0.73886,             0.46457,            0.041765,            0.021069,            0.010305,          2.1981e-06,          2.1981e-06,          2.1981e-06
