               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.086758,            0.027225,            0.060018,            0.034628,             0.12974,            0.017774,            0.004066,            0.088506,            0.028178,            0.061732,          1.9981e-05,          1.9981e-05,            0.080039
                   1,            0.078398,            0.027144,            0.051746,            0.030218,            0.057072,           0.0097241,           0.0021085,            0.086773,            0.028184,            0.065003,          3.9951e-05,          3.9951e-05,            0.060059
                   2,            0.073923,            0.026938,            0.046915,             0.18355,              0.1658,            0.076704,            0.021711,            0.074243,            0.028438,            0.043675,            5.98e-05,            5.98e-05,            0.040079
                   3,            0.070449,            0.026725,            0.043206,             0.20725,             0.24815,             0.14496,            0.047046,            0.069793,            0.026875,            0.038402,          7.9441e-05,          7.9441e-05,            0.020099
                   4,            0.067303,            0.026363,              0.0392,             0.27266,             0.25832,             0.18825,            0.064511,             0.06692,            0.026632,            0.035633,          9.8783e-05,          9.8783e-05,          0.00011811
                   5,            0.064872,            0.026108,            0.036143,             0.25001,             0.32516,             0.20725,            0.073615,            0.065006,            0.027848,            0.033939,          9.8132e-05,          9.8132e-05,          9.8132e-05
                   6,            0.062316,            0.025661,            0.032757,             0.34885,             0.31512,             0.25947,             0.10003,            0.062696,            0.026178,            0.031679,          9.8132e-05,          9.8132e-05,          9.8132e-05
                   7,            0.059793,            0.025184,            0.029687,             0.35742,             0.34204,             0.29782,             0.11745,            0.061642,            0.025796,            0.030308,          9.7318e-05,          9.7318e-05,          9.7318e-05
                   8,            0.057775,            0.024786,            0.026647,             0.39547,             0.38018,             0.33614,             0.13529,            0.060076,             0.02537,            0.026239,          9.6361e-05,          9.6361e-05,          9.6361e-05
                   9,            0.055631,             0.02418,            0.023216,             0.44188,             0.36979,             0.35601,              0.1511,            0.059869,            0.025371,            0.028424,          9.5266e-05,          9.5266e-05,          9.5266e-05
                  10,            0.053618,            0.023607,            0.020794,             0.45684,             0.39286,             0.37717,             0.16477,            0.058291,            0.025188,            0.025264,          9.4034e-05,          9.4034e-05,          9.4034e-05
                  11,            0.051252,            0.022901,            0.017966,             0.50226,             0.40403,             0.40649,             0.18137,            0.057992,            0.025153,             0.02458,           9.267e-05,           9.267e-05,           9.267e-05
