               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.088563,            0.026204,             0.06272,             0.63022,            0.053444,             0.02251,           0.0058284,            0.084184,            0.027959,            0.053711,          1.9981e-05,          1.9981e-05,            0.080039
                   1,            0.080524,            0.026092,            0.055563,             0.18367,             0.11462,            0.034198,           0.0084037,             0.08033,            0.028479,            0.057184,          3.9951e-05,          3.9951e-05,            0.060059
                   2,             0.07599,            0.026066,             0.05105,             0.32448,             0.13675,            0.075379,            0.023943,            0.075764,            0.028263,            0.047701,            5.98e-05,            5.98e-05,            0.040079
                   3,            0.072904,            0.025925,            0.047439,             0.25291,             0.21934,             0.12021,            0.038757,            0.070672,            0.027272,             0.04041,          7.9441e-05,          7.9441e-05,            0.020099
                   4,            0.070007,             0.02561,            0.044332,             0.32428,              0.2436,              0.1628,            0.052624,            0.067073,             0.02701,            0.036737,          9.8783e-05,          9.8783e-05,          0.00011811
                   5,            0.067933,            0.025248,            0.041954,             0.36049,             0.24497,             0.17495,            0.059988,            0.065334,            0.026867,              0.0356,          9.8132e-05,          9.8132e-05,          9.8132e-05
                   6,            0.066071,            0.025178,            0.039843,             0.37378,             0.26338,             0.21724,            0.078614,            0.063848,            0.026641,            0.034092,          9.8132e-05,          9.8132e-05,          9.8132e-05
                   7,            0.064319,            0.024928,            0.037297,             0.32069,             0.33863,             0.27608,             0.10507,            0.061328,            0.025984,            0.030266,          9.7318e-05,          9.7318e-05,          9.7318e-05
                   8,            0.063214,            0.024693,             0.03577,             0.36878,             0.35533,              0.3104,             0.12449,            0.059836,            0.025719,            0.027555,          9.6361e-05,          9.6361e-05,          9.6361e-05
                   9,            0.061886,            0.024311,             0.03367,             0.40464,             0.37697,             0.33601,             0.13953,            0.059154,            0.025473,            0.028555,          9.5266e-05,          9.5266e-05,          9.5266e-05
                  10,            0.060575,            0.024238,            0.032541,              0.4314,             0.39748,             0.37541,               0.161,            0.057225,            0.024945,            0.024868,          9.4034e-05,          9.4034e-05,          9.4034e-05
                  11,              0.0595,            0.024068,            0.030903,             0.45948,             0.40108,             0.39058,              0.1755,             0.05682,            0.024668,            0.025119,           9.267e-05,           9.267e-05,           9.267e-05
                  12,            0.058504,            0.023839,            0.029904,             0.47235,             0.43733,             0.41998,             0.19459,            0.055461,            0.024564,            0.023333,          9.1178e-05,          9.1178e-05,          9.1178e-05
                  13,             0.05741,            0.023492,            0.028293,             0.51001,             0.44208,             0.44621,             0.20881,            0.054174,            0.024381,            0.021777,          8.9562e-05,          8.9562e-05,          8.9562e-05
                  14,            0.056835,            0.023444,            0.027464,             0.53734,             0.43794,             0.46098,             0.21757,            0.053785,            0.024134,            0.020838,          8.7828e-05,          8.7828e-05,          8.7828e-05
                  15,            0.056422,            0.023312,            0.026598,              0.5143,             0.47481,             0.48216,             0.23367,            0.053003,            0.024079,            0.019985,          8.5981e-05,          8.5981e-05,          8.5981e-05
                  16,             0.05549,             0.02303,            0.025277,             0.54708,             0.49476,             0.50579,             0.25084,            0.052374,            0.023685,            0.019733,          8.4025e-05,          8.4025e-05,          8.4025e-05
                  17,            0.054617,            0.022874,            0.024057,             0.58804,              0.4975,             0.52307,             0.26218,            0.051545,            0.023606,            0.018412,          8.1968e-05,          8.1968e-05,          8.1968e-05
                  18,            0.053914,             0.02267,            0.023128,              0.6043,             0.49165,             0.53219,             0.26732,            0.050981,            0.023699,            0.018198,          7.9816e-05,          7.9816e-05,          7.9816e-05
                  19,            0.053221,            0.022523,            0.021954,             0.64375,             0.50388,             0.55624,             0.28627,            0.050307,            0.023268,            0.016956,          7.7574e-05,          7.7574e-05,          7.7574e-05
                  20,            0.053122,            0.022341,            0.021505,             0.63068,             0.52103,             0.56462,             0.29399,            0.049901,            0.023085,            0.016597,           7.525e-05,           7.525e-05,           7.525e-05
                  21,            0.052119,            0.022206,            0.021144,             0.65223,             0.53147,             0.58348,             0.30784,            0.049536,             0.02325,            0.016226,          7.2851e-05,          7.2851e-05,          7.2851e-05
                  22,            0.051458,            0.021994,            0.019943,             0.63933,             0.55026,              0.5951,             0.31531,            0.048997,            0.022861,             0.01561,          7.0384e-05,          7.0384e-05,          7.0384e-05
