               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.088782,            0.026162,             0.06264,            0.082068,             0.20704,            0.025663,           0.0074608,            0.085724,            0.027992,            0.055758,          1.9981e-05,          1.9981e-05,            0.080039
                   1,            0.080419,            0.026012,            0.055295,             0.28917,            0.051084,            0.018419,           0.0048487,            0.081952,            0.028792,             0.05749,          3.9951e-05,          3.9951e-05,            0.060059
                   2,            0.076017,            0.026059,            0.051057,             0.20204,             0.20777,            0.075134,             0.02141,            0.074439,            0.028949,            0.044562,            5.98e-05,            5.98e-05,            0.040079
                   3,            0.073095,            0.025932,            0.047645,             0.26161,             0.20655,             0.11176,            0.036474,            0.070716,             0.02774,            0.041401,          7.9441e-05,          7.9441e-05,            0.020099
                   4,            0.070125,            0.025658,            0.044476,             0.30778,             0.23511,             0.15458,            0.050109,            0.067616,            0.027629,            0.037457,          9.8783e-05,          9.8783e-05,          0.00011811
                   5,             0.06813,            0.025343,            0.042226,             0.32044,             0.26506,             0.16758,            0.054508,            0.065875,            0.028279,            0.036308,          9.8132e-05,          9.8132e-05,          9.8132e-05
                   6,            0.066182,            0.025166,            0.040022,             0.27154,             0.31366,             0.21827,            0.079456,            0.064201,            0.026508,            0.034649,          9.8132e-05,          9.8132e-05,          9.8132e-05
                   7,             0.06442,            0.025015,            0.037679,             0.36124,             0.32823,             0.26866,             0.10206,             0.06187,            0.026063,            0.031007,          9.7318e-05,          9.7318e-05,          9.7318e-05
                   8,            0.063408,            0.024697,            0.035968,             0.37642,             0.33952,               0.302,             0.11993,            0.060071,            0.025678,            0.028178,          9.6361e-05,          9.6361e-05,          9.6361e-05
                   9,            0.062013,            0.024385,             0.03396,             0.36939,             0.36948,             0.31862,             0.12929,            0.059224,             0.02557,             0.02847,          9.5266e-05,          9.5266e-05,          9.5266e-05
                  10,            0.060789,            0.024235,            0.032734,             0.40689,             0.39106,             0.35857,             0.15308,            0.057698,             0.02512,            0.024977,          9.4034e-05,          9.4034e-05,          9.4034e-05
                  11,            0.059616,            0.024169,            0.031331,             0.45484,             0.41466,             0.39317,             0.17359,             0.05669,            0.024829,            0.024363,           9.267e-05,           9.267e-05,           9.267e-05
                  12,            0.058839,            0.023922,            0.030312,             0.45784,             0.42804,             0.40465,             0.18433,            0.055577,             0.02483,            0.023335,          9.1178e-05,          9.1178e-05,          9.1178e-05
                  13,            0.057704,            0.023597,            0.028755,             0.48539,             0.44208,             0.43491,             0.19989,            0.054432,            0.024642,            0.021952,          8.9562e-05,          8.9562e-05,          8.9562e-05
                  14,            0.057051,             0.02346,            0.027635,             0.49649,              0.4494,             0.45241,             0.21541,            0.054037,            0.024315,            0.021677,          8.7828e-05,          8.7828e-05,          8.7828e-05
                  15,            0.056533,            0.023391,            0.026761,             0.50001,             0.48188,             0.47279,             0.22638,            0.053212,            0.024267,            0.020026,          8.5981e-05,          8.5981e-05,          8.5981e-05
                  16,            0.055639,            0.023076,            0.025566,             0.52816,             0.49115,             0.49437,             0.24378,            0.052619,            0.023801,            0.019474,          8.4025e-05,          8.4025e-05,          8.4025e-05
                  17,            0.054897,            0.022934,            0.024549,             0.54449,             0.51324,             0.52003,             0.25637,            0.051811,            0.023627,            0.018837,          8.1968e-05,          8.1968e-05,          8.1968e-05
                  18,            0.053983,            0.022745,            0.023731,             0.61863,             0.48451,             0.53098,             0.26778,            0.051114,            0.023537,            0.018035,          7.9816e-05,          7.9816e-05,          7.9816e-05
                  19,             0.05335,            0.022559,            0.022317,             0.60375,             0.51401,             0.54988,             0.28231,            0.050418,            0.023325,             0.01702,          7.7574e-05,          7.7574e-05,          7.7574e-05
                  20,             0.05321,            0.022378,            0.021896,             0.63652,              0.5123,             0.56034,             0.28873,            0.049986,             0.02324,             0.01665,           7.525e-05,           7.525e-05,           7.525e-05
                  21,            0.052173,            0.022217,            0.021218,             0.61754,             0.54546,             0.57921,              0.3013,            0.049533,            0.023135,            0.015959,          7.2851e-05,          7.2851e-05,          7.2851e-05
                  22,            0.051647,            0.022055,            0.020255,             0.66191,             0.53015,             0.59308,             0.31395,            0.049119,            0.022984,            0.015722,          7.0384e-05,          7.0384e-05,          7.0384e-05
                  23,            0.051079,            0.021931,            0.019413,             0.63812,              0.5608,             0.60167,             0.31951,            0.048729,            0.022822,            0.015289,          6.7857e-05,          6.7857e-05,          6.7857e-05
                  24,            0.050222,            0.021745,            0.018859,             0.65469,             0.55323,              0.6056,             0.32438,            0.048195,            0.022758,            0.015147,          6.5276e-05,          6.5276e-05,          6.5276e-05
                  25,            0.050379,            0.021616,             0.01859,             0.65571,             0.56718,             0.61494,             0.33401,            0.047965,            0.022688,            0.014938,          6.2652e-05,          6.2652e-05,          6.2652e-05
                  26,            0.049614,            0.021438,            0.017684,             0.66643,             0.57743,             0.62663,             0.34077,            0.047487,            0.022506,            0.014403,           5.999e-05,           5.999e-05,           5.999e-05
                  27,            0.049136,            0.021295,            0.016875,             0.69161,             0.57597,             0.63468,             0.34704,            0.047201,            0.022485,             0.01437,          5.7299e-05,          5.7299e-05,          5.7299e-05
                  28,            0.048589,             0.02113,            0.016328,             0.68825,              0.5732,             0.63557,             0.34965,            0.046904,            0.022476,            0.014282,          5.4588e-05,          5.4588e-05,          5.4588e-05
                  29,            0.048066,            0.020878,            0.015397,             0.70635,             0.57992,             0.64747,             0.35896,            0.046649,            0.022287,            0.013779,          5.1864e-05,          5.1864e-05,          5.1864e-05
                  30,             0.04749,            0.020889,            0.014693,             0.70971,             0.58803,             0.65486,             0.36626,            0.046432,            0.022241,            0.013552,          4.9136e-05,          4.9136e-05,          4.9136e-05
                  31,            0.047147,            0.020661,            0.014276,             0.72548,             0.57769,             0.65559,             0.37022,            0.046145,            0.022178,            0.013311,          4.6412e-05,          4.6412e-05,          4.6412e-05
                  32,            0.046593,            0.020453,            0.013807,             0.71793,             0.59155,             0.65897,             0.37344,            0.045939,            0.022135,            0.013224,          4.3701e-05,          4.3701e-05,          4.3701e-05
                  33,            0.046292,            0.020412,            0.013435,             0.72729,               0.589,              0.6616,             0.37427,            0.045793,            0.022098,            0.013137,           4.101e-05,           4.101e-05,           4.101e-05
                  34,            0.045858,            0.020209,            0.012893,             0.71446,              0.6052,             0.66674,              0.3779,            0.045667,            0.022043,            0.013091,          3.8348e-05,          3.8348e-05,          3.8348e-05
                  35,             0.04529,            0.019993,            0.012097,             0.69774,             0.61659,             0.66616,             0.38168,            0.045519,             0.02203,            0.012987,          3.5724e-05,          3.5724e-05,          3.5724e-05
                  36,            0.045445,            0.019857,            0.011949,             0.70093,             0.62457,             0.67255,             0.38595,            0.045395,            0.021974,            0.012863,          3.3143e-05,          3.3143e-05,          3.3143e-05
                  37,            0.044718,            0.019732,            0.011102,             0.71562,             0.61413,             0.67389,             0.38777,            0.045319,            0.021938,            0.012841,          3.0616e-05,          3.0616e-05,          3.0616e-05
                  38,            0.044377,            0.019527,            0.011071,             0.71138,             0.61553,             0.67415,             0.39034,            0.045185,            0.021927,            0.012862,          2.8149e-05,          2.8149e-05,          2.8149e-05
                  39,            0.043962,             0.01943,             0.01025,             0.72231,             0.61338,             0.67726,             0.39179,            0.045099,            0.021867,            0.012779,           2.575e-05,           2.575e-05,           2.575e-05
                  40,            0.043543,             0.01923,           0.0097417,             0.73221,              0.6151,             0.67818,             0.39465,            0.045081,            0.021881,            0.012694,          2.3426e-05,          2.3426e-05,          2.3426e-05
                  41,            0.043382,            0.019086,           0.0095721,             0.74644,             0.61072,              0.6813,             0.39676,            0.044994,            0.021878,            0.012696,          2.1184e-05,          2.1184e-05,          2.1184e-05
                  42,            0.043196,             0.01896,           0.0092498,             0.74368,              0.6131,             0.68159,             0.39786,            0.044929,            0.021891,            0.012669,          1.9032e-05,          1.9032e-05,          1.9032e-05
                  43,            0.042627,            0.018866,           0.0086158,              0.7485,             0.60962,             0.68315,             0.39905,            0.044877,            0.021888,             0.01264,          1.6975e-05,          1.6975e-05,          1.6975e-05
                  44,            0.042395,             0.01867,           0.0082203,             0.73267,             0.61947,             0.68375,             0.40014,            0.044824,            0.021897,            0.012647,          1.5019e-05,          1.5019e-05,          1.5019e-05
                  45,            0.042134,            0.018599,            0.008085,             0.74322,              0.6149,             0.68418,             0.40155,            0.044776,            0.021918,            0.012666,          1.3172e-05,          1.3172e-05,          1.3172e-05
                  46,            0.041674,            0.018393,           0.0076865,             0.73117,             0.62357,             0.68523,             0.40259,            0.044734,            0.021927,            0.012663,          1.1438e-05,          1.1438e-05,          1.1438e-05
                  47,            0.041391,            0.018284,           0.0075688,             0.73508,             0.61961,             0.68482,             0.40345,            0.044695,            0.021934,            0.012703,           9.822e-06,           9.822e-06,           9.822e-06
                  48,            0.041451,            0.018227,           0.0072729,             0.73429,             0.61999,             0.68462,             0.40385,            0.044676,            0.021953,            0.012731,            8.33e-06,            8.33e-06,            8.33e-06
                  49,            0.041298,            0.018111,           0.0071285,             0.74363,             0.61453,             0.68555,             0.40454,             0.04466,            0.021969,            0.012768,           6.966e-06,           6.966e-06,           6.966e-06
                  50,            0.041039,            0.018005,           0.0069182,             0.73242,              0.6215,             0.68587,             0.40438,            0.044649,            0.021984,            0.012812,          5.7343e-06,          5.7343e-06,          5.7343e-06
