               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.076625,            0.043047,            0.062687,             0.06405,             0.10985,           0.0083376,             0.00187,            0.086723,               0.021,            0.057059,          1.9981e-05,          1.9981e-05,            0.080039
                   1,            0.067088,             0.04078,            0.056754,             0.35246,            0.087298,             0.05082,            0.015536,            0.068238,            0.021141,            0.053099,          3.9951e-05,          3.9951e-05,            0.060059
                   2,            0.063335,            0.039779,            0.051278,             0.28455,             0.19271,             0.11089,            0.038188,            0.064056,            0.020337,              0.0445,            5.98e-05,            5.98e-05,            0.040079
                   3,            0.059995,            0.039021,            0.047077,              0.3747,             0.24421,             0.19208,            0.077111,            0.058215,            0.020672,             0.03687,          7.9441e-05,          7.9441e-05,            0.020099
                   4,            0.057368,             0.03801,            0.043391,             0.40466,             0.29017,               0.236,             0.10091,            0.055817,            0.019654,            0.034287,          9.8783e-05,          9.8783e-05,          0.00011811
                   5,            0.054941,            0.037153,            0.040023,              0.4376,             0.37123,             0.32983,              0.1565,            0.052721,            0.018755,            0.029086,          9.8132e-05,          9.8132e-05,          9.8132e-05
                   6,            0.053389,            0.036614,            0.037484,             0.45767,             0.39244,              0.3755,             0.18488,            0.051652,            0.018827,            0.025705,          9.8132e-05,          9.8132e-05,          9.8132e-05
                   7,            0.051641,            0.035956,            0.034812,             0.47341,              0.4424,              0.4253,             0.21129,            0.050012,            0.017929,            0.023919,          9.7318e-05,          9.7318e-05,          9.7318e-05
                   8,            0.050474,             0.03547,            0.032858,             0.54189,              0.4518,             0.46288,             0.23665,             0.04836,            0.017878,            0.021901,          9.6361e-05,          9.6361e-05,          9.6361e-05
                   9,            0.049531,            0.035047,            0.031218,             0.53074,             0.49562,             0.49904,             0.26073,            0.046821,            0.017711,            0.020131,          9.5266e-05,          9.5266e-05,          9.5266e-05
