               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.080188,            0.021178,             0.06046,             0.36835,              0.1107,            0.020047,            0.004872,            0.079788,             0.02112,            0.055229,          1.9981e-05,          1.9981e-05,            0.080039
                   1,            0.071602,            0.020949,            0.053978,             0.28295,             0.11271,            0.048741,            0.014541,            0.071942,            0.027101,            0.051382,          3.9951e-05,          3.9951e-05,            0.060059
                   2,            0.066921,            0.020428,            0.047909,             0.26515,             0.19273,             0.10283,            0.035053,            0.066086,             0.02041,            0.042735,            5.98e-05,            5.98e-05,            0.040079
                   3,            0.063348,            0.019973,            0.043072,             0.34721,             0.21922,             0.14294,            0.052681,            0.063619,             0.02087,            0.043224,          7.9441e-05,          7.9441e-05,            0.020099
                   4,            0.060146,            0.019616,            0.038851,             0.38794,             0.27151,             0.21332,            0.085264,             0.05908,            0.019737,            0.035217,          9.8783e-05,          9.8783e-05,          0.00011811
                   5,            0.056766,            0.019181,            0.034255,             0.39735,             0.30902,             0.26972,             0.11198,             0.05717,            0.019415,            0.032663,          9.8132e-05,          9.8132e-05,          9.8132e-05
                   6,            0.053642,            0.018731,            0.029896,             0.34119,              0.3399,             0.28014,             0.12267,            0.056983,            0.019381,             0.03136,          9.8132e-05,          9.8132e-05,          9.8132e-05
                   7,            0.050904,            0.018156,            0.025489,              0.4057,             0.35497,             0.32431,             0.14299,            0.054424,            0.019124,            0.029376,          9.7318e-05,          9.7318e-05,          9.7318e-05
                   8,            0.048023,            0.017539,            0.021621,             0.43647,             0.40646,             0.37736,             0.18083,            0.053158,            0.018796,            0.028795,          9.6361e-05,          9.6361e-05,          9.6361e-05
                   9,            0.045176,            0.016705,            0.017823,             0.49089,             0.38522,             0.38649,             0.17788,             0.05335,            0.018818,            0.026898,          9.5266e-05,          9.5266e-05,          9.5266e-05
                  10,            0.042611,            0.015867,            0.014831,              0.4733,             0.43374,             0.40801,             0.19545,            0.052966,            0.018874,             0.02778,          9.4034e-05,          9.4034e-05,          9.4034e-05
                  11,            0.039567,            0.014642,             0.01145,             0.55967,             0.41758,             0.43675,             0.21736,            0.052103,            0.018841,            0.025128,           9.267e-05,           9.267e-05,           9.267e-05
                  12,            0.036921,             0.01333,           0.0086628,             0.54226,             0.43998,             0.43881,             0.21922,            0.052275,            0.019182,            0.025727,          9.1178e-05,          9.1178e-05,          9.1178e-05
                  13,            0.034498,            0.012137,           0.0069032,             0.53046,             0.42724,             0.43593,             0.21759,            0.052278,            0.019842,            0.026565,          8.9562e-05,          8.9562e-05,          8.9562e-05
                  14,            0.032524,            0.011149,           0.0056836,             0.55138,             0.43669,             0.44365,             0.22274,            0.052782,            0.020787,            0.026109,          8.7828e-05,          8.7828e-05,          8.7828e-05
                  15,            0.030862,            0.010284,            0.004671,             0.58154,              0.4215,             0.44265,             0.22403,            0.052383,            0.021008,            0.026789,          8.5981e-05,          8.5981e-05,          8.5981e-05
                  16,            0.028776,           0.0093052,            0.003664,             0.58101,              0.4184,              0.4434,             0.23236,             0.05269,            0.022257,            0.026839,          8.4025e-05,          8.4025e-05,          8.4025e-05
                  17,             0.02736,           0.0085495,           0.0030243,             0.56777,             0.43532,             0.45002,             0.23511,            0.052668,             0.02343,            0.026529,          8.1968e-05,          8.1968e-05,          8.1968e-05
                  18,            0.026021,           0.0080057,           0.0028556,             0.54461,             0.44215,             0.44124,              0.2359,            0.052655,            0.024312,            0.027093,          7.9816e-05,          7.9816e-05,          7.9816e-05
                  19,            0.024939,            0.007455,           0.0023501,             0.57892,              0.4322,             0.45366,              0.2429,            0.052152,            0.025167,            0.026336,          7.7574e-05,          7.7574e-05,          7.7574e-05
                  20,            0.023938,           0.0069899,           0.0020883,             0.55175,             0.44744,             0.45336,              0.2462,            0.052016,            0.026107,            0.026142,           7.525e-05,           7.525e-05,           7.525e-05
                  21,            0.022802,           0.0065603,           0.0018747,             0.58652,             0.43045,             0.45371,             0.24531,            0.052087,            0.026466,            0.026467,          7.2851e-05,          7.2851e-05,          7.2851e-05
