               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.081348,            0.020411,             0.06206,             0.49725,            0.061405,            0.022227,           0.0059585,            0.078562,            0.021591,            0.058045,          1.9981e-05,          1.9981e-05,            0.080039
                   1,            0.072869,            0.020085,            0.056698,             0.23141,             0.12554,            0.023495,           0.0055809,            0.072807,             0.02352,            0.052155,          3.9951e-05,          3.9951e-05,            0.060059
                   2,            0.068557,            0.019708,            0.051822,             0.24907,             0.18053,            0.075825,            0.023944,            0.067772,            0.021298,            0.047775,            5.98e-05,            5.98e-05,            0.040079
                   3,            0.065526,            0.019358,            0.047858,             0.23701,             0.17345,            0.087618,            0.029125,            0.064464,            0.021468,            0.045047,          7.9441e-05,          7.9441e-05,            0.020099
                   4,            0.062807,            0.019028,            0.044039,             0.35121,              0.2584,             0.19018,            0.071169,            0.059955,            0.020001,            0.037694,          9.8783e-05,          9.8783e-05,          0.00011811
                   5,            0.060572,            0.018691,            0.041254,             0.38796,             0.26982,             0.21306,            0.084887,            0.058393,            0.019854,            0.035003,          9.8132e-05,          9.8132e-05,          9.8132e-05
                   6,             0.05827,            0.018507,            0.038486,             0.38285,             0.31619,             0.27517,             0.12369,            0.055902,            0.019185,             0.03151,          9.8132e-05,          9.8132e-05,          9.8132e-05
                   7,            0.057002,            0.018164,            0.036179,              0.4455,             0.36361,             0.33268,             0.15208,            0.053692,             0.01906,            0.029206,          9.7318e-05,          9.7318e-05,          9.7318e-05
                   8,             0.05549,            0.017987,            0.034033,             0.47657,             0.37822,             0.37326,             0.17534,            0.052479,            0.019003,            0.027396,          9.6361e-05,          9.6361e-05,          9.6361e-05
                   9,            0.054333,            0.017802,            0.032504,             0.53015,             0.36532,             0.38756,              0.1801,            0.051849,             0.01863,            0.025032,          9.5266e-05,          9.5266e-05,          9.5266e-05
                  10,            0.053583,            0.017568,            0.031109,             0.46486,             0.42968,              0.4104,             0.20079,            0.050492,            0.018575,             0.02478,          9.4034e-05,          9.4034e-05,          9.4034e-05
                  11,            0.052204,            0.017452,            0.029138,             0.57083,             0.42015,             0.44752,             0.22149,            0.049507,            0.018212,            0.023682,           9.267e-05,           9.267e-05,           9.267e-05
                  12,             0.05135,            0.017251,            0.027851,              0.5242,             0.45812,             0.47005,             0.23923,            0.049412,            0.017811,            0.022741,          9.1178e-05,          9.1178e-05,          9.1178e-05
                  13,            0.050659,             0.01696,            0.026738,             0.54921,             0.48771,             0.49703,              0.2554,            0.047844,            0.017676,            0.021024,          8.9562e-05,          8.9562e-05,          8.9562e-05
                  14,            0.049686,            0.016906,             0.02578,             0.60429,             0.46493,             0.51555,             0.26552,            0.047082,            0.017576,            0.019684,          8.7828e-05,          8.7828e-05,          8.7828e-05
                  15,            0.049085,            0.016752,            0.024544,             0.59676,             0.49365,             0.52658,             0.27795,            0.046429,            0.017455,            0.019162,          8.5981e-05,          8.5981e-05,          8.5981e-05
                  16,            0.048305,            0.016628,             0.02358,             0.59161,             0.51093,             0.55161,             0.29655,             0.04574,            0.017269,            0.017947,          8.4025e-05,          8.4025e-05,          8.4025e-05
                  17,            0.047807,            0.016468,            0.022591,             0.59595,              0.5371,             0.56794,             0.30995,             0.04534,            0.017168,            0.017624,          8.1968e-05,          8.1968e-05,          8.1968e-05
                  18,            0.046994,            0.016345,            0.021676,             0.64154,              0.5449,             0.58791,             0.32209,            0.044654,            0.016898,            0.016794,          7.9816e-05,          7.9816e-05,          7.9816e-05
                  19,            0.046808,             0.01626,            0.021228,             0.61691,             0.55371,              0.5892,             0.32697,            0.044247,            0.016923,            0.016783,          7.7574e-05,          7.7574e-05,          7.7574e-05
                  20,            0.046213,            0.016124,            0.020187,             0.64831,             0.55927,             0.60306,             0.33521,            0.043854,             0.01679,            0.016025,           7.525e-05,           7.525e-05,           7.525e-05
                  21,            0.045401,            0.016016,              0.0195,             0.65299,             0.56967,             0.61882,             0.34987,            0.043332,            0.016638,            0.015588,          7.2851e-05,          7.2851e-05,          7.2851e-05
                  22,             0.04483,            0.015802,            0.018435,             0.70727,             0.55653,             0.62816,             0.36085,            0.042861,            0.016579,            0.015215,          7.0384e-05,          7.0384e-05,          7.0384e-05
