               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.081229,            0.020416,            0.061946,             0.87168,            0.018446,            0.014448,           0.0038674,            0.083078,            0.020869,            0.062266,          1.9981e-05,          1.9981e-05,            0.080039
                   1,            0.072872,            0.020105,             0.05643,              0.2485,             0.10121,            0.031618,           0.0080742,            0.071567,             0.02187,            0.051559,          3.9951e-05,          3.9951e-05,            0.060059
                   2,            0.068699,            0.019715,            0.051557,             0.38129,             0.16431,            0.098391,            0.032548,            0.066152,            0.021237,             0.04625,            5.98e-05,            5.98e-05,            0.040079
                   3,            0.065636,            0.019322,            0.047421,             0.25988,             0.19682,            0.096882,            0.032471,              0.0648,            0.020383,            0.048881,          7.9441e-05,          7.9441e-05,            0.020099
                   4,            0.062901,            0.018998,            0.043681,             0.36297,             0.24469,             0.19356,            0.071666,            0.059637,            0.020187,            0.037088,          9.8783e-05,          9.8783e-05,          0.00011811
                   5,            0.060469,            0.018695,            0.040926,             0.41124,             0.28929,             0.23421,            0.092929,            0.057906,            0.019754,            0.033748,          9.8132e-05,          9.8132e-05,          9.8132e-05
                   6,            0.058311,            0.018477,            0.038211,             0.31894,             0.35108,             0.28208,             0.12173,            0.055496,            0.019082,            0.030835,          9.8132e-05,          9.8132e-05,          9.8132e-05
                   7,            0.057041,            0.018152,            0.036018,             0.38658,             0.38481,             0.33299,             0.14674,            0.053492,            0.018956,            0.029135,          9.7318e-05,          9.7318e-05,          9.7318e-05
                   8,            0.055411,            0.017966,            0.033916,             0.45461,             0.37836,             0.35592,             0.16727,             0.05331,            0.018814,            0.028437,          9.6361e-05,          9.6361e-05,          9.6361e-05
                   9,            0.054204,            0.017774,            0.032375,             0.46037,             0.37951,             0.37325,             0.17444,            0.051965,            0.018946,            0.025649,          9.5266e-05,          9.5266e-05,          9.5266e-05
                  10,             0.05342,            0.017541,             0.03072,             0.48953,             0.42482,             0.42099,             0.20614,            0.050308,            0.018367,             0.02391,          9.4034e-05,          9.4034e-05,          9.4034e-05
                  11,            0.052258,            0.017447,            0.029219,             0.52136,             0.42007,             0.42132,             0.19994,            0.050157,            0.018802,            0.024336,           9.267e-05,           9.267e-05,           9.267e-05
                  12,            0.051405,            0.017248,            0.027968,             0.51917,              0.4667,             0.47578,             0.24325,            0.048884,            0.017815,            0.022105,          9.1178e-05,          9.1178e-05,          9.1178e-05
                  13,            0.050676,            0.016971,            0.026703,             0.56023,             0.47061,             0.49465,             0.25422,            0.047971,            0.017546,            0.020986,          8.9562e-05,          8.9562e-05,          8.9562e-05
                  14,            0.049615,            0.016933,            0.025672,              0.5539,             0.49925,             0.51818,             0.26748,            0.047079,            0.017547,            0.019417,          8.7828e-05,          8.7828e-05,          8.7828e-05
                  15,            0.048967,            0.016756,            0.024407,             0.56342,             0.52013,              0.5359,             0.28226,            0.046334,            0.017338,             0.01888,          8.5981e-05,          8.5981e-05,          8.5981e-05
                  16,            0.048313,            0.016633,            0.023654,             0.64106,             0.48727,             0.55167,             0.29448,            0.045779,            0.017173,            0.018057,          8.4025e-05,          8.4025e-05,          8.4025e-05
                  17,            0.047713,            0.016462,            0.022347,             0.63291,             0.51979,             0.56439,             0.30676,            0.045359,            0.017121,            0.017598,          8.1968e-05,          8.1968e-05,          8.1968e-05
                  18,            0.046968,            0.016311,            0.021628,             0.62234,             0.55366,             0.58927,             0.32348,            0.044462,            0.016924,            0.016391,          7.9816e-05,          7.9816e-05,          7.9816e-05
                  19,            0.046856,            0.016306,            0.021544,             0.64663,             0.52964,             0.58418,             0.32413,            0.044284,            0.016881,            0.016622,          7.7574e-05,          7.7574e-05,          7.7574e-05
                  20,            0.046034,            0.016089,            0.020353,             0.65428,             0.55385,             0.59854,             0.33344,            0.043756,            0.016728,            0.016049,           7.525e-05,           7.525e-05,           7.525e-05
                  21,            0.045395,            0.015983,            0.019504,             0.68311,              0.5615,             0.61983,             0.35252,            0.043258,            0.016597,            0.015438,          7.2851e-05,          7.2851e-05,          7.2851e-05
                  22,            0.044747,            0.015787,            0.018412,             0.65677,             0.58325,             0.62432,             0.36045,            0.042922,            0.016537,            0.015232,          7.0384e-05,          7.0384e-05,          7.0384e-05
                  23,            0.044307,            0.015691,             0.01796,             0.67191,             0.57945,             0.63356,             0.36431,            0.042459,            0.016394,            0.014556,          6.7857e-05,          6.7857e-05,          6.7857e-05
                  24,            0.043895,            0.015495,            0.017029,             0.70408,             0.57928,             0.64247,              0.3733,            0.042175,            0.016244,            0.014258,          6.5276e-05,          6.5276e-05,          6.5276e-05
